restaurant_id,city,restaurant_name,location,cuisines,url,total_items,prices_list,min_price,max_price,avg_price
16,alexandria,Pizza King,"inEL Ataren,Egypt","Pizza, Pasta, Pizza, Italian",https://www.talabat.com/egypt/restaurant/678299/pizza-king-raml-station-el-ataren?aid=7177,168,"[136.0, 63.0, 60.0, 51.0, 137.0, 350.0, 710.0, 356.0, 371.0, 363.0, 431.0, 631.0, 993.0, 1016.0, 246.0, 642.0, 400.0, 477.0, 554.0, 616.0, 862.0, 577.0, 662.0, 723.0, 816.0, 1108.0, 623.0, 731.0, 854.0, 1008.0, 1239.0, 585.0, 662.0, 739.0, 846.0, 1123.0, 350.0, 364.29, 366.67, 239.4, 324.9, 239.4, 324.9, 496.0, 710.0, 356.0, 371.0, 363.0, 431.0, 631.0, 993.0, 1016.0, 331.0, 246.0, 642.0, 251.0, 359.0, 336.0, 444.6, 400.0, 477.0, 554.0, 616.0, 862.0, 577.0, 662.0, 723.0, 816.0, 1108.0, 623.0, 731.0, 854.0, 1008.0, 1239.0, 585.0, 662.0, 739.0, 846.0, 1123.0, 165.0, 165.0, 188.0, 171.0, 103.0, 103.0, 160.0, 154.0, 154.0, 148.0, 143.0, 143.0, 143.0, 148.0, 148.0, 148.0, 148.0, 188.0, 188.0, 137.0, 60.0, 74.0, 74.0, 68.0, 80.0, 80.0, 63.0, 137.0, 91.0, 142.5, 63.0, 63.0, 40.0, 51.0, 136.0, 57.0, 46.0, 23.0, 19.0, 17.0, 17.0, 17.0, 14.0, 17.0, 80.0, 74.0, 80.0, 80.0, 29.0, 33.0, 33.0, 33.0, 33.0, 52.0, 27.0]",14.0,1239.0,389.5571641791045
17,alexandria,Mo'men,"inRaml Station,Egypt","Sandwiches, Fish & Seafood, Burgers, Chicken",https://www.talabat.com/egypt/restaurant/502330/momen-raml-station?aid=7177,117,"[406.0, 430.0, 40.0, 250.0, 406.0, 980.0, 430.0, 250.0, 240.0, 333.0, 331.0, 339.0, 392.0, 500.0, 639.0, 531.0, 746.0, 800.0, 923.0, 406.0, 376.5, 427.5, 240.0, 980.0, 430.0, 250.0, 240.0, 333.0, 331.0, 339.0, 392.0, 500.0, 639.0, 531.0, 746.0, 800.0, 923.0, 451.0, 262.2, 262.2, 257.0, 188.1, 188.1, 199.5, 216.6, 216.6, 308.0, 63.0, 68.0, 313.5, 279.3, 256.5, 313.51, 256.5, 239.4, 57.0, 17.0, 17.0, 46.0, 137.0, 63.0, 86.0, 86.0, 74.0, 74.0, 80.0, 60.5, 17.0, 17.0, 17.0, 17.0, 19.0, 23.0, 17.0, 40.0, 63.0, 154.0, 97.0, 103.0, 131.0, 80.0, 74.0, 29.0, 33.0, 33.0, 33.0, 33.0, 52.0, 27.0, 13.0]",13.0,980.0,267.8723333333333
18,alexandria,Costa Coffee,"inAsafra,Egypt","coffee & tea, Sandwiches, Desserts",https://www.talabat.com/egypt/restaurant/624994/costa-coffeefouad-street-tgo?aid=7177,112,"[95.0, 100.0, 95.0, 70.0, 80.0, 105.0, 120.0, 120.0, 160.0, 200.0, 220.0, 185.0, 95.0, 95.0, 95.0, 100.0, 80.0, 105.0, 105.0, 100.0, 70.0, 70.0, 70.0, 65.0, 105.0, 100.0, 100.0, 105.0, 60.0, 65.0, 105.0, 100.0, 100.0, 100.0, 100.0, 95.0, 100.0, 100.0, 80.0, 105.0, 100.0, 100.0, 105.0, 105.0, 100.0, 95.0, 95.0, 145.0, 120.0, 110.0, 110.0, 110.0, 120.0, 125.0, 120.0, 170.0, 170.0, 160.0, 170.0, 160.0, 170.0, 240.0, 180.0, 120.0, 190.0, 180.0, 65.0, 90.0, 110.0, 85.0, 85.0, 70.0, 70.0, 70.0, 55.0, 95.0, 150.0, 150.0, 110.0, 70.0, 70.0, 145.0, 110.0, 110.0, 110.0, 110.0, 100.0, 90.0, 70.0, 70.0, 99.0, 120.0, 130.0, 150.0, 75.0, 75.0, 90.0, 150.0, 150.0, 150.0, 165.0, 95.0, 80.0, 80.0, 80.0, 80.0, 40.0, 90.0, 90.0, 90.0, 25.0, 40.0]",25.0,240.0,107.98214285714286
19,alexandria,Molo Broast,"inSporting, Cleopatra,Egypt","Fried chicken, Burgers, Fast Food",https://www.talabat.com/egypt/restaurant/745689/molo-broast-sporting-cleopatra?aid=7177,84,"[120.0, 90.0, 235.0, 300.0, 70.0, 275.0, 220.0, 190.0, 300.0, 235.0, 300.0, 310.0, 410.0, 410.0, 120.0, 165.0, 185.0, 185.0, 185.0, 225.0, 185.0, 195.0, 225.0, 185.0, 130.0, 140.0, 140.0, 140.0, 165.0, 140.0, 140.0, 85.0, 195.0, 275.0, 340.0, 160.0, 245.0, 345.0, 750.0, 685.0, 975.0, 1200.0, 785.0, 210.0, 155.0, 180.0, 55.0, 55.0, 130.0, 130.0, 130.0, 130.0, 70.0, 90.0, 100.0, 150.0, 95.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 55.0, 105.0, 35.0, 35.0, 35.0, 50.0, 25.0, 30.0, 95.0, 60.0, 35.0, 15.0, 85.0, 5.0, 2.0, 35.0, 35.0, 30.0, 55.0, 20.0]",2.0,1200.0,180.02380952380952
20,alexandria,Pizza Roma,"inSporting,Egypt","Pizza, Crepes",https://www.talabat.com/egypt/restaurant/627975/pizza-roma-sporting?aid=7177,235,"[90.0, 110.0, 110.0, 100.0, 110.0, 100.0, 100.0, 120.0, 120.0, 100.0, 100.0, 120.0, 125.0, 75.0, 80.0, 80.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 120.0, 120.0, 100.0, 150.0, 125.0, 130.0, 125.0, 170.0, 90.0, 100.0, 120.0, 60.0, 80.0, 85.0, 75.0, 120.0, 120.0, 130.0, 150.0, 120.0, 140.0, 110.0, 110.0, 130.0, 170.0, 180.0, 135.0, 135.0, 150.0, 165.0, 125.0, 135.0, 145.0, 185.0, 200.0, 150.0, 140.0, 150.0, 160.0, 150.0, 150.0, 185.0, 200.0, 130.0, 220.0, 130.0, 120.0, 110.0, 120.0, 120.0, 325.0, 130.0, 130.0, 130.0, 140.0, 55.0, 150.0, 160.0, 110.0, 120.0, 220.0, 120.0, 85.0, 40.0, 60.0, 75.0, 120.0, 40.0, 25.0, 20.0, 20.0, 15.0, 20.0, 25.0, 15.0, 20.0]",15.0,325.0,115.5
21,alexandria,Chicken Tikka,"inSidi Gaber,Egypt","Grills, Chicken, Fried chicken",https://www.talabat.com/egypt/restaurant/502521/chicken-tikka-green-plazatgo?aid=7177,99,"[215.0, 255.0, 275.0, 150.0, 55.0, 35.0, 965.0, 1130.0, 1215.0, 1360.0, 1480.0, 965.0, 1130.0, 1215.0, 1360.0, 1480.0, 175.0, 180.0, 170.0, 379.0, 744.0, 700.0, 775.0, 994.0, 994.0, 70.0, 60.0, 55.0, 55.0, 55.0, 55.0, 55.0, 55.0, 55.0, 145.0, 235.0, 125.0, 95.0, 95.0, 85.0, 255.0, 180.0, 390.0, 450.0, 215.0, 240.0, 280.0, 240.0, 280.0, 264.0, 304.0, 150.0, 190.0, 310.0, 270.0, 235.0, 275.0, 275.0, 315.0, 140.0, 160.0, 145.0, 165.0, 140.0, 160.0, 170.0, 50.0, 180.0, 175.0, 175.0, 145.0, 135.0, 135.0, 135.0, 65.0, 55.0, 65.0, 35.0, 35.0, 80.0, 85.0, 65.0, 55.0, 65.0, 70.0, 60.0, 52.0, 45.0, 55.0, 55.0, 95.0, 80.0, 80.0, 80.0, 30.0, 45.0, 30.0, 30.0, 30.0]",30.0,1480.0,287.4848484848485
22,alexandria,Mumo,"inSemouha,Egypt","Fried chicken, Fast Food, Beverages",https://www.talabat.com/egypt/restaurant/747474/mumo-semouha-semouha-sporting-club?aid=7177,58,"[244.0, 275.0, 159.0, 169.0, 299.0, 14.0, 204.0, 185.0, 204.0, 185.0, 159.0, 175.0, 275.0, 299.0, 169.0, 244.0, 590.0, 539.0, 125.0, 125.0, 125.0, 125.0, 149.0, 169.0, 179.0, 189.0, 179.0, 125.0, 139.0, 69.0, 69.0, 55.0, 109.0, 99.0, 59.0, 14.0, 69.0, 39.0, 1.5, 19.0, 19.0, 25.0, 19.0, 35.0, 35.0, 10.0, 20.0, 30.0, 25.0]",1.5,590.0,139.5408163265306
23,alexandria,al farakhgi,"inSidi Gaber,Egypt","Chicken, Egyptian",https://www.talabat.com/egypt/restaurant/791058/al-farakhgi-sidi-gaber?aid=7177,55,"[280.0, 375.0, 563.0, 590.0, 160.0, 20.0, 480.0, 192.0, 1728.0, 160.0, 280.0, 535.0, 563.0, 295.0, 160.0, 160.0, 160.0, 160.0, 105.0, 135.0, 190.0, 110.0, 135.0, 240.0, 170.0, 240.0, 120.0, 120.0, 335.0, 563.0, 724.0, 1340.0, 1270.0, 1140.0, 1610.0, 1740.0, 1740.0, 2010.0, 663.0, 375.0, 697.0, 415.0, 590.0, 630.0, 657.0, 135.0, 420.0, 100.0, 20.0, 20.0, 20.0]",20.0,2010.0,502.7450980392157
24,alexandria,AYE ! SMASH,"inBab Sharq,Egypt",Burgers,https://www.talabat.com/egypt/restaurant/792979/aye-smash-el-hadara?aid=7177,31,"[75.0, 240.0, 245.0, 240.0, 515.0, 225.0, 270.0, 260.0, 245.0, 240.0, 240.0, 225.0, 240.0, 515.0, 255.0, 75.0, 50.0, 50.0, 50.0, 40.0, 40.0, 35.0, 35.0, 35.0, 45.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0]",35.0,515.0,152.4193548387097
25,alexandria,Abou Shakra,"inAnwar El Sadat,Egypt","Grills, Pasta, Chicken, Arabic, Egyptian, Sandwiches",https://www.talabat.com/egypt/restaurant/502375/abou-shakra-lauran?aid=7177,93,"[216.0, 52.0, 30.0, 305.0, 270.0, 305.0, 216.0, 125.0, 165.0, 165.0, 240.0, 194.0, 210.0, 165.0, 460.0, 160.0, 210.0, 215.0, 240.0, 270.0, 335.0, 165.0, 554.0, 159.0, 169.0, 144.0, 169.0, 135.0, 135.0, 135.0, 135.0, 135.0, 157.0, 197.0, 170.0, 157.0, 157.0, 92.0, 107.0, 170.0, 69.0, 89.0, 120.0, 68.0, 154.0, 155.0, 68.0, 68.0, 59.0, 72.0, 51.0, 68.0, 72.0, 45.0, 54.0, 60.0, 67.0, 52.0, 43.0, 70.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 35.0, 30.0, 30.0, 120.0]",30.0,554.0,135.40277777777777
