Restaurant,Location,Cuisines,URL,Total_Items,Prices_List,Min_Price,Max_Price,Avg_Price
Smoothie Paradise,"inDowntown - Magales El Sha'ab,Egypt","Beverages, Juices",https://www.talabat.com/egypt/restaurant/788002/smoothie-paradise-downtown-magales-el-shaab?aid=7766,90,"[75.0, 30.0, 75.0, 80.0, 55.0, 90.0, 50.0, 60.0, 30.0, 115.0, 125.0, 115.0, 95.0, 115.0, 75.0, 85.0, 120.0, 42.5, 50.0, 50.0, 60.0, 60.0, 60.0, 60.0, 60.0, 59.0, 55.0, 70.0, 75.0, 65.0, 70.0, 65.0, 95.0, 80.0, 75.0, 75.0, 80.0, 80.0, 90.0, 75.0, 55.0, 55.0, 55.0, 145.0, 115.0, 115.0, 90.0, 85.0, 75.0, 75.0, 65.0, 65.0, 65.0, 65.0, 65.0, 65.0, 65.0, 65.0, 95.0, 60.0, 60.0, 85.0, 75.0, 85.0, 65.0, 90.0, 110.0, 70.0, 75.0, 85.0, 115.0, 65.0, 70.0, 38.0, 65.0, 110.0, 95.0, 100.0, 100.0, 100.0, 100.0, 100.0, 35.0, 35.0, 40.0, 48.0, 36.0, 60.0, 72.0]",30.0,145.0,74.8932584269663
Mr. Koko,"inDowntown - Abdin,Egypt","Burgers, Arabic, Sandwiches",https://www.talabat.com/egypt/restaurant/764690/mr-koko-downtown-abdin?aid=7766,73,"[155.0, 70.0, 30.0, 155.0, 155.0, 155.0, 155.0, 155.0, 195.0, 215.0, 215.0, 185.0, 195.0, 195.0, 185.0, 185.0, 70.0, 100.0, 100.0, 60.0, 90.0, 90.0, 95.0, 95.0, 20.0, 20.0, 20.0, 15.0, 20.0, 25.0, 30.0, 30.0, 30.0, 20.0, 20.0, 20.0, 25.0]",15.0,215.0,97.16216216216216
Costa Coffee,"inDowntown - Abdin,Egypt","coffee & tea, Sandwiches, Desserts",https://www.talabat.com/egypt/restaurant/502873/costa-coffee-sherif-streettgo?aid=7766,100,"[95.0, 100.0, 80.0, 95.0, 105.0, 95.0, 120.0, 120.0, 200.0, 220.0, 185.0, 95.0, 95.0, 95.0, 100.0, 80.0, 105.0, 105.0, 100.0, 70.0, 70.0, 70.0, 65.0, 105.0, 100.0, 100.0, 105.0, 60.0, 105.0, 100.0, 100.0, 100.0, 100.0, 95.0, 100.0, 80.0, 105.0, 100.0, 100.0, 105.0, 100.0, 95.0, 95.0, 110.0, 110.0, 110.0, 120.0, 125.0, 120.0, 160.0, 170.0, 160.0, 170.0, 240.0, 180.0, 120.0, 190.0, 180.0, 90.0, 85.0, 85.0, 70.0, 70.0, 95.0, 150.0, 150.0, 110.0, 70.0, 70.0, 110.0, 110.0, 110.0, 110.0, 100.0, 90.0, 70.0, 70.0, 99.0, 120.0, 75.0, 75.0, 90.0, 150.0, 150.0, 150.0, 145.0, 95.0, 80.0, 80.0, 80.0, 40.0, 90.0, 90.0, 90.0, 25.0, 40.0, 1200.0, 1000.0, 900.0, 999.0]",25.0,1200.0,143.58
Papa John's Pizza,"inHaram - Wimpy,Egypt","Pizza, Fast Food, Pizza",https://www.talabat.com/egypt/restaurant/502884/papa-johns-pizza-el-mesaha?aid=7766,73,"[200.0, 535.0, 300.0, 460.0, 460.0, 435.0, 635.0, 170.0, 120.0, 200.0, 130.01, 200.0, 170.0, 165.0, 86.0, 111.0, 56.0, 188.0, 165.0, 165.0, 95.0, 140.0, 226.01, 226.01, 226.01, 188.0, 188.0, 165.0, 140.0, 140.0, 25.0, 25.0, 25.0, 25.0, 10.0, 2.0, 110.0, 79.0, 95.0, 30.0, 35.0, 20.0]",2.0,635.0,170.62
Spectra,"inDokki,Egypt","International, Grills, Healthy , Soup, Chicken, Salad",https://www.talabat.com/egypt/restaurant/503182/spectra-shooting-club-street-dokki?aid=7766,325,"[399.0, 120.0, 399.0, 399.0, 120.0, 445.0, 120.0, 120.0, 120.0, 120.0, 137.0, 120.0, 468.0, 468.0, 251.0, 171.0, 171.0, 171.0, 616.0, 434.0, 228.0, 228.0, 194.0, 308.0, 171.0, 171.0, 228.0, 171.0, 354.0, 297.0, 434.0, 342.0, 251.0, 399.0, 342.0, 342.0, 342.0, 342.0, 342.0, 342.0, 479.0, 434.0, 194.0, 365.0, 194.0, 263.0, 377.0, 479.0, 399.0, 399.0, 582.0, 434.0, 434.0, 445.0, 673.0, 434.0, 434.0, 434.0, 1129.0, 399.0, 1585.0, 434.0, 434.0, 399.0, 434.0, 434.0, 491.0, 491.0, 741.0, 1243.0, 1767.0, 445.0, 445.0, 673.0, 491.0, 2269.0, 1539.0, 662.0, 627.0, 684.0, 662.0, 753.0, 662.0, 730.0, 753.0, 707.0, 2052.0, 1357.0, 650.0, 616.0, 616.0, 582.0, 684.0, 1767.0, 673.0, 673.0, 753.0, 753.0, 2041.0, 468.0, 502.0, 525.0, 593.0, 502.0, 593.0, 103.0, 109.0, 114.0, 92.0, 126.0, 97.0, 103.0, 97.0, 109.0, 109.0, 109.0, 109.0, 411.0, 479.0, 479.0, 582.0, 548.0, 411.0, 605.0, 548.0, 730.0, 730.0, 776.0, 730.0, 582.0, 1095.0, 1528.0, 1881.0, 411.0, 263.0, 263.0, 263.0, 263.0, 308.0, 388.0, 525.0, 274.0, 365.0, 525.0, 320.0, 525.0, 354.0, 274.0, 388.0, 308.0, 228.0, 422.0, 251.0, 399.0, 513.0, 536.0, 513.0, 308.0, 525.0, 228.0, 308.0, 399.0, 422.0, 422.0, 536.0, 536.0, 240.0, 206.0, 217.0, 217.0, 234.0, 240.0, 206.0, 217.0, 217.0, 217.0, 262.0, 262.0, 217.0, 240.0, 217.0, 217.0, 217.0, 183.0, 217.0, 217.0, 240.0, 240.0, 240.0, 263.0, 263.0, 263.0, 263.0, 263.0, 263.0, 342.0, 263.0, 251.0, 22.8, 160.0, 22.8, 22.8, 22.8, 22.8, 22.8, 22.8, 22.8, 114.0, 22.8, 22.8, 22.8, 22.8, 22.8, 22.8, 39.9, 22.8, 22.8, 22.8, 22.8, 46.0, 22.8, 240.0, 217.0, 228.0, 171.0, 217.0, 217.0, 132.0, 149.0, 177.0, 206.0, 137.0, 171.0, 177.0, 194.0, 177.0, 137.0, 137.0, 120.0, 194.0, 217.0, 137.0, 217.0, 46.0, 217.0, 30.0, 177.0, 719.0, 844.0, 627.0, 684.0, 639.0, 684.0, 639.0, 639.0, 639.0, 109.0, 109.0, 109.0, 109.0, 97.0, 69.0, 80.0, 92.0, 80.0, 92.0, 92.0, 92.0, 52.0, 30.0, 52.0, 52.0, 52.0, 52.0, 52.0, 52.0, 52.0, 52.0, 52.0, 92.0, 80.0, 92.0, 103.0, 103.0, 103.0, 92.0, 69.0, 80.0, 80.0, 92.0, 92.0, 92.0, 109.0, 109.0, 109.0, 109.0, 109.0, 109.0, 109.0, 109.0, 109.0, 109.0, 30.0, 109.0, 109.0, 109.0, 109.0, 109.0, 109.0, 109.0, 109.0, 109.0, 109.0, 75.0, 75.0, 75.0, 75.0, 75.0, 109.0, 109.0, 109.0, 109.0, 109.0, 109.0]",22.8,2269.0,333.7564814814815
Cook Door,"inAl Manial,Egypt","Sandwiches, Burgers, Fast Food",https://www.talabat.com/egypt/restaurant/510616/cook-door-al-manial-tgo?aid=7766,72,"[90.0, 60.0, 964.0, 450.0, 600.0, 639.0, 964.0, 450.0, 600.0, 639.0, 220.0, 245.0, 155.0, 520.0, 520.0, 290.0, 115.0, 115.0, 290.0, 185.0, 450.0, 155.0, 155.0, 360.0, 360.0, 360.0, 345.0, 315.0, 60.0, 120.0, 60.0, 90.0, 60.0, 105.0, 140.0, 155.0, 220.0, 245.0, 80.0, 80.0, 49.0, 40.0, 25.0, 20.0, 5.0, 20.0, 20.0, 20.0, 15.0, 20.0, 20.0, 25.0, 25.0, 20.0]",5.0,964.0,228.7037037037037
La Pomme,"inGiza,Egypt","Pizza, Desserts, Cakes",https://www.talabat.com/egypt/restaurant/505141/la-pomme-giza?aid=7766,121,"[90.0, 380.0, 80.0, 380.0, 85.0, 85.0, 85.0, 80.0, 70.0, 126.0, 138.0, 140.0, 140.0, 126.0, 35.0, 12.0, 140.0, 165.0, 145.0, 140.0, 155.0, 140.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 90.0, 75.0, 255.0, 115.0, 175.0, 130.0, 140.0, 135.0, 120.0, 155.0, 190.0, 185.0, 715.0, 610.0, 645.0, 620.0, 655.0, 620.0, 380.0, 75.0, 85.0, 85.0, 85.0, 85.0, 40.0, 40.0, 40.0, 55.0, 75.0, 65.0, 65.0, 65.0, 84.0, 84.0, 84.0, 490.0, 1.0, 175.0, 35.0, 45.0, 30.0, 105.0, 80.0, 80.0, 80.0, 70.0, 65.0, 1100.0, 1200.0]",1.0,1200.0,145.08510638297872
Beano's Cafe,"inDowntown - Tahrir,Egypt","coffee & tea, Sandwiches, Desserts",https://www.talabat.com/egypt/restaurant/516609/beanos-cafe-downtown-tahrir?aid=7766,163,"[125.0, 130.0, 250.0, 205.0, 150.0, 150.0, 235.71, 242.86, 235.71, 242.86, 80.0, 155.0, 110.0, 125.0, 105.0, 105.0, 160.0, 175.0, 185.0, 185.0, 110.0, 135.0, 95.0, 135.0, 95.0, 110.0, 85.0, 170.0, 135.0, 160.0, 235.0, 290.0, 260.0, 250.0, 295.0, 225.0, 215.0, 295.0, 275.0, 400.0, 285.0, 400.0, 160.0, 235.0, 220.0, 190.0, 175.0, 220.0, 205.0, 220.0, 190.0, 260.0, 100.0, 175.0, 205.0, 185.0, 275.0, 295.0, 250.0, 215.0, 295.0, 305.0, 315.0, 250.0, 320.0, 395.0, 295.0, 280.0, 290.0, 325.0, 325.0, 375.0, 315.0, 295.0, 350.0, 315.0, 325.0, 350.0, 110.0, 185.0, 105.0, 175.0, 65.0, 175.0, 175.0, 195.0, 130.0, 85.0, 180.0, 245.0, 180.0, 190.0, 190.0, 225.0, 170.0, 205.0, 105.0, 175.0, 150.0, 160.0, 205.0, 170.0, 205.0, 150.0, 125.0, 150.0, 150.0, 150.0, 150.0, 220.0, 200.0, 110.0, 200.0, 185.0, 200.0, 120.0, 145.0, 210.0, 175.0, 175.0, 175.0, 175.0, 210.0, 170.0, 275.0, 275.0, 275.0, 160.0, 105.0, 105.0, 185.0, 105.0, 105.0, 105.0, 120.0, 105.0, 125.0, 125.0, 125.0, 115.0, 125.0, 110.0, 130.0, 110.0, 130.0, 140.0, 130.0, 100.0, 100.0, 100.0, 80.0, 80.0, 80.0, 25.0, 375.0, 500.0, 375.0, 320.0, 320.0, 275.0, 565.0, 560.0, 460.0]",25.0,565.0,201.2401226993865
Haty Al Sahaba,"inShobra,Egypt","Grills, Shawerma, Sandwiches",https://www.talabat.com/egypt/restaurant/505612/haty-el-sahaba-shobra?aid=7766,113,"[15.0, 50.0, 25.0, 500.0, 250.0, 250.0, 200.0, 1800.0, 1800.0, 25.0, 50.0, 1000.0, 750.0, 900.0, 1650.0, 1100.0, 1050.0, 320.0, 430.0, 250.0, 280.0, 470.0, 325.0, 450.0, 320.0, 320.0, 440.0, 300.0, 300.0, 300.0, 300.0, 350.0, 350.0, 350.0, 390.0, 50.0, 30.0, 50.0, 50.0, 50.0, 50.0, 20.0, 15.0, 25.0, 50.0, 20.0, 20.0, 20.0, 15.0, 35.0, 50.0, 150.0, 180.0, 280.0, 220.0, 430.0, 270.0, 200.0, 425.0, 200.0, 200.0, 200.0, 600.0, 500.0, 400.0, 300.0, 200.0, 450.0, 250.0, 200.0, 350.0, 200.0, 100.0, 50.0, 100.0]",15.0,1800.0,328.8666666666667
Daddy's Burger,"inDowntown - Tahrir,Egypt","Burgers, Beverages, Sandwiches",https://www.talabat.com/egypt/restaurant/779910/daddys-burger-downtown-tahrir?aid=7766,45,"[175.0, 179.0, 170.0, 180.0, 189.0, 175.0, 179.0, 184.0, 194.0, 189.0, 219.0, 240.0, 170.0, 180.0, 170.0, 175.0, 175.0, 145.0, 120.0, 160.0, 200.0, 90.0, 60.0, 55.0, 55.0, 75.0, 100.0, 30.0, 40.0, 15.0, 20.0, 20.0, 20.0, 20.0, 15.0, 25.0, 15.0, 30.0, 20.0, 30.0, 20.0, 40.0, 10.0, 5.0, 10.0]",5.0,240.0,101.95555555555555
