Restaurant,Location,Cuisines,URL,Total_Items,Prices_List,Min_Price,Max_Price,Avg_Price
The Good Mafia,"inAl Manial,Egypt","Pizza, Manaqeesh",https://www.talabat.com/egypt/restaurant/792059/the-good-mafia-al-manial?aid=7766,59,"[310.0, 310.0, 255.0, 275.0, 175.0, 310.0, 250.0, 255.0, 250.0, 265.0, 275.0, 275.0, 270.0, 310.0, 270.0, 260.0, 310.0, 275.0, 295.0, 275.0, 310.0, 285.0, 280.0, 135.0, 115.0, 135.0, 150.0, 150.0, 165.0, 165.0, 145.0, 165.0, 155.0, 175.0, 145.0, 165.0, 165.0, 175.0, 175.0, 105.0, 210.0, 135.0, 125.0, 165.0, 160.0, 150.0, 170.0, 180.0, 150.0, 145.0, 60.0, 120.0, 120.0, 120.0, 120.0, 120.0, 20.0, 120.0, 145.0]",20.0,310.0,194.32203389830508
The Joker,"inDokki - Oman Square,Egypt","Desserts, Waffles, Ice cream",https://www.talabat.com/egypt/restaurant/794520/the-joker-dokki--oman-square?aid=7766,75,"[40.0, 300.0, 250.0, 250.0, 200.0, 200.0, 250.0, 270.0, 280.0, 280.0, 270.0, 250.0, 100.0, 25.0, 25.0, 25.0, 70.0, 15.0, 35.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 60.0, 60.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 150.0]",15.0,300.0,95.98214285714286
Starbucks,"inZamalek - Cairo Tower,Egypt","coffee & tea, Beverages",https://www.talabat.com/egypt/restaurant/518125/starbucks-nile-city-boat--zamalek--cairo-tower?aid=7766,125,"[125.0, 145.0, 190.0, 145.0, 130.0, 100.0, 135.0, 190.0, 135.0, 140.0, 155.0, 125.0, 140.0, 150.0, 145.0, 130.0, 145.0, 145.0, 130.0, 135.0, 170.0, 190.0, 190.0, 145.0, 70.0, 70.0, 90.0, 110.0, 120.0, 120.0, 100.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 110.0, 110.0, 110.0, 100.0, 160.0, 100.0, 100.0, 160.0, 160.0, 100.0, 140.0, 140.0, 50.0, 150.0, 150.0, 30.0, 30.0, 75.0, 20.0, 20.0, 20.0, 80.0, 120.0, 85.0, 80.0, 155.0, 125.0, 150.0, 100.0, 100.0, 145.0, 130.0, 145.0, 145.0, 95.0, 190.0, 195.0, 195.0, 145.0, 160.0, 160.0, 160.0, 150.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 115.0, 105.0, 150.0, 160.0, 160.0, 100.0, 100.0, 100.0, 40.0, 30.0, 30.0, 900.0, 1100.0, 1100.0, 1100.0, 900.0, 1100.0, 900.0, 900.0, 1800.0, 1800.0, 750.0, 850.0, 1800.0, 1800.0, 380.0, 1100.0, 1700.0, 1100.0, 1800.0, 1800.0]",20.0,1800.0,307.72
Burger King,"inAl Manial,Egypt","Burgers, Fast Food",https://www.talabat.com/egypt/restaurant/507781/burger-king-al-manial?aid=7766,83,"[205.0, 275.0, 299.0, 70.0, 110.0, 110.0, 275.0, 299.0, 219.0, 219.0, 299.0, 315.0, 375.0, 275.0, 299.0, 219.0, 219.0, 299.0, 310.0, 310.0, 315.0, 375.0, 260.0, 300.0, 299.0, 400.0, 309.0, 360.0, 219.0, 315.0, 205.0, 429.0, 435.0, 460.0, 299.0, 380.0, 309.0, 309.0, 275.0, 259.0, 159.0, 470.0, 360.0, 110.0, 100.0, 75.0, 120.0, 60.0, 80.0, 110.0, 60.0, 25.0, 60.0, 55.0, 25.0, 25.0, 60.0, 340.0, 369.0, 375.0, 400.0, 410.0, 300.0, 250.0, 250.0, 249.0, 249.0, 320.0, 199.0, 215.0, 239.0, 99.0, 60.0, 70.0, 249.0, 239.0, 159.0, 145.0, 140.0, 120.0, 140.0, 140.0]",25.0,470.0,234.0609756097561
City Drink,"inAgouza,Egypt","Beverages, Juices, Egyptian",https://www.talabat.com/egypt/restaurant/687308/city-drink-agouza?aid=7766,235,"[85.0, 80.0, 95.0, 110.0, 85.0, 90.0, 65.0, 70.0, 85.0, 75.0, 90.0, 75.0, 90.0, 75.0, 65.0, 75.0, 75.0, 75.0, 85.0, 80.0, 85.0, 75.0, 75.0, 75.0, 110.0, 110.0, 110.0, 80.0, 110.0, 100.0, 110.0, 75.0, 60.0, 60.0, 65.0, 100.0, 70.0, 80.0, 85.0, 90.0, 130.0, 75.0, 65.0, 35.0, 40.0, 45.0, 60.0, 125.0, 220.0, 40.0, 165.0, 85.0, 95.0, 80.0, 65.0, 70.0, 210.0, 100.0, 125.0, 20.0, 35.0, 35.0, 35.0, 35.0, 135.0, 105.0, 105.0, 130.0, 90.0, 135.0, 20.0, 120.0, 125.0, 60.0, 135.0, 120.0, 110.0, 110.0, 95.0, 100.0, 105.0, 100.0, 100.0, 115.0, 90.0, 95.0, 105.0, 100.0, 100.0, 100.0, 85.0, 175.0, 130.0, 75.0, 30.0, 30.0, 40.0, 45.0, 50.0, 65.0, 65.0, 70.0, 110.0, 80.0, 95.0, 125.0, 70.0, 1050.0, 800.0, 200.0, 70.0, 90.0, 75.0, 75.0, 80.0, 75.0, 90.0, 130.0, 95.0, 90.0, 90.0, 90.0, 35.0, 110.0, 70.0, 70.0, 90.0, 85.0, 95.0, 85.0, 85.0, 75.0, 95.0, 110.0, 115.0, 120.0, 150.0, 150.0, 140.0, 85.0, 100.0, 90.0, 100.0, 110.0, 70.0, 70.0, 75.0, 95.0, 125.0, 100.0, 140.0, 125.0, 135.0, 130.0, 145.0, 125.0, 100.0, 145.0, 120.0, 110.0, 120.0, 130.0, 75.0, 85.0, 85.0, 95.0, 95.0, 150.0, 130.0, 135.0, 135.0, 200.0, 95.0, 200.0, 120.0, 150.0, 35.0, 450.0, 385.0, 95.0, 60.0, 75.0, 65.0, 75.0, 125.0, 95.0, 105.0, 95.0, 100.0, 105.0, 70.0, 90.0, 105.0, 110.0, 75.0, 90.0, 55.0, 65.0, 75.0, 85.0, 110.0, 85.0, 105.0, 105.0, 85.0, 70.0, 85.0, 85.0, 95.0, 150.0, 90.0, 100.0, 90.0, 85.0, 120.0, 125.0, 90.0, 80.0, 75.0, 75.0, 80.0, 90.0, 80.0, 70.0, 90.0, 80.0, 85.0, 85.0, 95.0, 85.0, 95.0, 85.0, 85.0, 85.0, 80.0]",20.0,1050.0,103.48936170212765
Cook Door,"inAl Manial,Egypt","Sandwiches, Burgers, Fast Food",https://www.talabat.com/egypt/restaurant/510616/cook-door-al-manial--tgo?aid=7766,73,"[90.0, 60.0, 964.0, 450.0, 600.0, 639.0, 964.0, 450.0, 600.0, 639.0, 220.0, 245.0, 230.0, 260.0, 155.0, 520.0, 520.0, 290.0, 115.0, 115.0, 290.0, 185.0, 450.0, 155.0, 155.0, 360.0, 360.0, 360.0, 345.0, 315.0, 60.0, 60.0, 90.0, 60.0, 105.0, 140.0, 155.0, 220.0, 245.0, 230.0, 260.0, 80.0, 80.0, 49.0, 40.0, 25.0, 20.0, 5.0, 20.0, 20.0, 20.0, 20.0, 25.0, 25.0, 20.0]",5.0,964.0,239.54545454545453
Recota,"inAnwar El Sadat,Egypt","Pizza, Desserts, Fast Food",https://www.talabat.com/egypt/restaurant/508082/recota-al-manial?aid=7766,80,"[70.0, 70.0, 70.0, 70.0, 110.0, 120.0, 120.0, 120.0]",70.0,120.0,93.75
Fruit Farghaly,"inDowntown - Tahrir,Egypt","Beverages, Juices",https://www.talabat.com/egypt/restaurant/513565/fruit-farghaly-downtown--tahrir?aid=7766,187,"[70.0, 90.0, 65.0, 65.0, 25.0, 35.0, 80.0, 35.0, 40.0, 80.0, 30.0, 35.0, 30.0, 35.0, 35.0, 85.0, 100.0, 100.0, 110.0, 100.0, 85.0, 40.0, 45.0, 40.0, 45.0, 40.0, 40.0, 50.0, 40.0, 50.0, 40.0, 75.0, 45.0, 110.0, 120.0, 110.0, 110.0, 90.0, 40.0, 40.0, 40.0, 40.0, 40.0, 100.0, 100.0, 100.0, 110.0, 110.0, 120.0, 70.0, 80.0, 70.0, 220.0, 270.0, 110.0, 230.0, 120.0, 220.0, 60.0, 70.0, 90.0, 80.0, 120.0, 110.0, 120.0, 110.0, 110.0, 110.0, 130.0, 80.0, 220.0, 130.0, 45.0, 65.0, 65.0, 65.0, 80.0, 80.0, 60.0, 70.0, 70.0, 70.0, 60.0, 70.0, 70.0, 60.0, 70.0, 40.0, 120.0, 65.0, 50.0, 50.0, 50.0, 40.0, 50.0, 40.0, 65.0, 150.0, 55.0, 90.0, 90.0, 110.0, 85.0, 65.0, 85.0, 50.0, 150.0, 150.0, 70.0, 100.0, 120.0, 100.0, 40.0, 50.0, 35.0, 35.0, 120.0, 30.0, 50.0, 100.0, 50.0, 80.0, 200.0, 40.0, 45.0, 50.0, 45.0, 45.0, 45.0, 70.0, 45.0, 40.0, 45.0, 45.0, 45.0, 45.0, 100.0, 100.0, 100.0, 150.0, 270.0, 180.0, 100.0, 150.0, 180.0, 80.0]",25.0,270.0,82.43150684931507
Hamed El Eskndrany,"inShobra - Masara,Egypt","Beverages, Juices, Desserts",https://www.talabat.com/egypt/restaurant/796244/hamed-el-eskndrany-shobra--masara--tmp?aid=7766,239,"[100.0, 60.0, 120.0, 120.0, 130.0, 35.0, 45.0, 80.0, 150.0, 150.0, 100.0, 150.0, 45.0, 100.0, 120.0, 140.0, 140.0, 60.0, 70.0, 70.0, 120.0, 120.0, 130.0, 90.0, 65.0, 140.0, 90.0, 70.0, 90.0, 60.0, 70.0, 60.0, 90.0, 70.0, 50.0, 65.0, 90.0, 85.0, 85.0, 130.0, 130.0, 130.0, 90.0, 120.0, 120.0, 140.0, 100.0, 150.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 60.0, 80.0, 100.0, 120.0, 140.0, 60.0, 120.0, 120.0, 130.0, 35.0, 45.0, 80.0, 150.0, 150.0, 100.0, 150.0, 45.0, 100.0, 120.0, 140.0, 140.0, 60.0, 70.0, 70.0, 120.0, 120.0, 130.0, 90.0, 65.0, 140.0, 90.0, 70.0, 90.0, 60.0, 70.0, 60.0, 90.0, 70.0, 50.0, 65.0, 90.0, 85.0, 85.0, 130.0, 130.0, 130.0, 90.0, 120.0, 120.0, 140.0, 100.0, 150.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 60.0, 80.0, 100.0, 120.0, 140.0]",35.0,150.0,91.6260162601626
Mr. Lee,"inZamalek - 26 July,Egypt","Asian, Vegetarian, Asian, Chinese",https://www.talabat.com/egypt/restaurant/513366/mr-lee-zamalek?aid=7766,101,"[278.2, 65.41, 288.0, 110.0, 278.2, 30.0, 1090.0, 560.0, 380.0, 278.2, 288.0, 231.4, 250.0, 236.0, 230.0, 278.2, 278.2, 278.2, 278.2, 288.0, 130.0, 130.0, 110.0, 1090.0, 560.0, 380.0, 293.43, 288.89, 309.0, 245.54, 525.0, 278.2, 288.0, 240.61, 425.3, 240.0, 335.04, 231.4, 250.0, 250.0, 110.0, 110.0, 130.6, 110.0, 150.67, 236.0, 110.0, 233.0, 123.27, 230.0, 110.0, 278.2, 278.2, 278.2, 278.2, 278.2, 288.0, 150.78, 41.99, 41.99, 41.99, 41.99, 41.99, 41.99, 41.99, 41.99, 41.99, 41.99, 41.99, 41.99, 41.99, 41.99, 45.0, 45.0, 67.0, 63.62, 66.46, 65.41, 63.62, 70.0, 67.0, 71.0, 67.0, 60.62, 130.0, 130.0, 97.75, 86.51, 91.51, 104.61, 250.0, 255.0, 6.16, 62.87, 62.87, 62.87, 62.87, 62.87, 110.0, 30.0, 20.0]",6.16,1090.0,188.5487128712871
Tiko's Fried Chicken and More,"inShobra - Masara,Egypt","Fried chicken, Sandwiches, Burgers, Chicken",https://www.talabat.com/egypt/restaurant/774751/tikos-fried-chicken-and-more-shobra--masara?aid=7766,115,"[235.0, 265.0, 125.0, 130.0, 8.0, 390.0, 750.0, 650.0, 520.0, 580.0, 525.0, 595.0, 270.0, 235.0, 870.0, 460.0, 425.0, 270.0, 230.0, 335.0, 235.0, 320.0, 195.0, 370.0, 210.0, 270.0, 300.0, 660.0, 390.0, 750.0, 650.0, 520.0, 580.0, 525.0, 595.0, 270.0, 235.0, 870.0, 460.0, 265.0, 425.0, 270.0, 230.0, 335.0, 235.0, 320.0, 195.0, 370.0, 210.0, 270.0, 300.0, 165.0, 780.0, 660.0, 575.0, 610.0, 850.0, 730.0, 980.0, 125.0, 115.0, 210.0, 120.0, 150.0, 150.0, 150.0, 150.0, 200.0, 265.0, 265.0, 60.0, 130.0, 165.0, 190.0, 200.0, 175.0, 175.0, 175.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 100.0, 165.0, 155.0, 110.0, 75.0, 35.0, 75.0, 120.0, 80.0, 50.0, 105.0, 75.0, 60.0, 60.0, 115.0, 8.0, 75.0]",8.0,980.0,291.6601941747573
"talabat martinDowntown - Magra El Ouyon,Egypt",Location not found,Cuisines not found,https://www.talabat.com/egypt/grocery/619850/talabat-martdowntown--el-sayeda-zeinab?aid=7766,0,[],,,
Burger Station,"inGiza - El Omraneya El Sharqiya -1,Egypt","Burgers, Fast Food, Fried chicken",https://www.talabat.com/egypt/restaurant/789498/burger-station-giza--el-omraneya-el-sharkiya-1?aid=7766,25,"[38.0, 30.0, 17.0, 57.0, 17.0, 15.0, 0.01, 0.01, 0.01, 0.01, 17.0, 13.0, 15.0, 15.0, 17.0, 38.0, 57.0, 75.0, 60.0, 30.0, 55.0, 15.0]",0.01,75.0,26.41090909090909
Original,"inAl Manial - El Rawda,Egypt","Beverages, Smoothies, Juices, Fruits",https://www.talabat.com/egypt/restaurant/755466/original-al-manial?aid=7766,150,"[90.0, 60.0, 70.0, 90.0, 90.0, 70.0, 70.0, 90.0, 90.0, 75.0, 100.0, 60.0, 60.0, 60.0, 20.0, 25.0, 25.0, 30.0, 30.0]",20.0,100.0,63.421052631578945
