Restaurant,Location,Cuisines,URL,Total_Items,Prices_List,Min_Price,Max_Price,Avg_Price
El Sharkawy El Asly,"inDowntown - Abdin,Egypt",Egyptian,https://www.talabat.com/egypt/restaurant/768729/el-sharkawy-el-asly-downtown--abdin?aid=7766,81,"[115.0, 65.0, 10.0, 12.0, 10.0, 2.5, 60.0, 60.0, 50.0, 105.0, 85.0, 110.0, 70.0, 2.5, 500.0, 340.0, 230.0, 175.0, 115.0, 65.0, 350.0, 240.0, 120.0, 165.0, 65.0, 480.0, 640.0, 525.0, 395.0, 300.0, 144.0, 1050.0, 950.0, 700.0, 480.0, 360.0, 250.0, 120.0, 340.0, 230.0, 165.0, 115.0, 65.0, 465.0, 660.0, 440.0, 330.0, 220.0, 120.0, 880.0, 420.0, 300.0, 145.0, 220.0, 80.0, 580.0, 25.0, 70.0, 55.0, 55.0, 30.0, 60.0, 40.0, 45.0, 30.0, 60.0, 620.0, 95.0, 180.0, 230.0, 12.0, 12.0, 10.0, 10.0, 10.0, 10.0, 20.0, 35.0, 10.0, 25.0, 20.0]",2.5,1050.0,210.6172839506173
NOLA,"inDowntown - Magra El Ouyon,Egypt","Desserts, Cakes and Desserts, Cakes, Ice cream",https://www.talabat.com/egypt/restaurant/503841/nola--zamalek?aid=7766,73,"[450.0, 65.0, 70.0, 60.0, 160.0, 55.0, 790.0, 920.0, 420.0, 520.0, 870.0, 920.0, 790.0, 920.0, 750.0, 920.0, 790.0, 820.0, 790.0, 920.0, 790.0, 690.0, 450.0, 550.0, 470.0, 320.0, 520.0, 520.0, 450.0, 590.0, 320.0, 470.0, 320.0, 50.0, 65.0, 70.0, 55.0, 60.0, 70.0, 75.0, 60.0, 55.0, 55.0, 50.0, 65.0, 160.0, 1200.0, 890.0, 850.0, 890.0, 870.0, 750.0, 350.0, 140.0, 190.0, 190.0, 130.0, 70.0, 280.0, 70.0, 290.0, 620.0, 590.0, 270.0, 270.0, 150.0, 250.0, 290.0, 280.0, 280.0, 40.0, 40.0, 40.0]",40.0,1200.0,405.8904109589041
Abu Auf,"inAl Manial,Egypt","Grocery, Healthy , Nuts & Dried Fruit, Beverages, Coffee & Tea, Convenience Store, Roastery, Chocolate, Snacks",https://www.talabat.com/egypt/restaurant/702872/abu-auf-al-manial?aid=7766,164,"[156.0, 65.0, 146.5, 72.5, 121.0, 90.0, 352.0, 352.0, 391.0, 319.0, 380.0, 300.0, 300.0, 300.0, 325.0, 415.0, 353.0, 353.0, 303.0, 110.0, 290.0, 90.0, 100.0, 140.0, 286.0, 155.0, 353.0, 413.0, 138.0, 220.0, 275.0, 122.0, 110.0, 200.0, 352.0, 352.0, 391.0, 319.0, 156.0, 146.5, 156.5, 146.5, 198.0, 253.0, 253.0, 380.0, 156.5, 156.0, 236.5, 156.5, 156.5, 146.5, 156.0, 236.5, 156.0, 132.0, 144.5, 121.0, 176.0, 198.0, 346.5, 231.0, 132.0, 65.0, 25.0, 25.0, 75.0, 300.0, 90.0, 90.0, 90.0, 120.0, 120.0, 120.0, 30.0, 90.0, 75.0, 25.0, 300.0, 300.0, 25.0, 155.0, 100.0, 90.0, 325.0, 55.0, 55.0, 35.0, 35.0, 55.0, 55.0, 55.0, 55.0, 30.0, 30.0, 30.0, 15.0, 15.0, 15.0, 45.0, 62.0, 62.0, 35.0, 35.0, 27.0, 20.0, 20.0, 45.0, 45.0, 45.0, 30.0, 30.0, 30.0, 8.0, 8.0, 33.0, 33.0, 33.0, 33.0, 11.0, 11.0, 20.0, 20.0, 20.0, 38.5, 35.5, 17.0, 17.0, 11.0, 140.0, 160.0, 65.0, 50.0, 50.0, 150.0, 50.0, 45.0, 45.0, 45.0, 65.0, 65.0, 65.0, 65.0, 65.0, 65.0, 65.0, 245.0, 195.0, 220.0, 220.0, 22.0, 30.0, 40.5, 25.0, 72.5, 68.0, 126.5, 121.0, 130.0, 17.0, 45.0, 415.0, 40.0, 40.0]",8.0,415.0,131.7987804878049
Buffalo Burger,"inAl Manial,Egypt","Burgers, Sandwiches",https://www.talabat.com/egypt/restaurant/700435/buffalo-burger-al-manial--tgo?aid=7766,87,"[175.0, 299.0, 225.0, 189.0, 265.0, 525.0, 950.0, 189.0, 299.0, 225.0, 162.0, 162.0, 167.0, 183.0, 183.0, 224.0, 224.0, 250.0, 250.0, 255.0, 271.0, 271.0, 312.0, 312.0, 227.0, 252.0, 226.0, 221.0, 274.0, 281.0, 222.0, 252.0, 227.0, 287.0, 276.0, 216.0, 238.0, 315.0, 340.0, 314.0, 309.0, 362.0, 369.0, 310.0, 340.0, 315.0, 375.0, 364.0, 304.0, 326.0, 228.0, 222.0, 227.0, 305.0, 299.0, 304.0, 201.0, 214.0, 202.0, 261.0, 285.0, 298.0, 286.0, 345.0, 260.0, 145.0, 65.0, 710.0, 116.0, 90.0, 110.0, 154.0, 121.0, 55.0, 116.0, 15.0, 30.0, 15.0, 15.0, 15.0, 3.0, 15.0, 10.0, 110.0, 110.0, 16.0, 42.0]",3.0,950.0,231.31034482758622
Mo'men,"inAl Manial,Egypt","Sandwiches, Fish & Seafood, Burgers, Chicken",https://www.talabat.com/egypt/restaurant/502351/momen--al-manial?aid=7766,115,"[406.0, 430.0, 250.0, 40.0, 406.0, 980.0, 430.0, 250.0, 240.0, 333.0, 331.0, 339.0, 392.0, 500.0, 639.0, 531.0, 746.0, 800.0, 923.0, 406.0, 376.5, 427.5, 240.0, 980.0, 430.0, 250.0, 240.0, 333.0, 331.0, 339.0, 392.0, 500.0, 639.0, 531.0, 746.0, 800.0, 923.0, 451.0, 257.0, 257.0, 257.0, 182.0, 182.0, 194.0, 308.0, 63.0, 68.0, 302.0, 268.0, 250.0, 307.0, 250.0, 228.0, 57.0, 17.0, 17.0, 46.0, 137.0, 63.0, 86.0, 86.0, 74.0, 74.0, 80.0, 60.5, 17.0, 17.0, 17.0, 17.0, 19.0, 23.0, 17.0, 40.0, 63.0, 154.0, 97.0, 103.0, 131.0, 80.0, 74.0, 29.0, 33.0, 33.0, 33.0, 33.0, 52.0, 27.0, 13.0]",13.0,980.0,268.10795454545456
Vinny's Pizzeria,"inZamalek,Egypt","Pizza, Desserts, Salad",https://www.talabat.com/egypt/restaurant/503502/vinnys-pizza--zamalek?aid=7766,86,"[15.0, 50.0, 40.0, 15.0, 473.0, 558.0, 785.0, 849.0, 458.0, 1107.0, 473.0, 558.0, 785.0, 849.0, 458.0, 1107.0, 40.0, 15.0, 15.0, 15.0, 15.0, 15.0, 90.0, 175.0, 120.0, 70.0, 50.0, 60.0, 50.0, 70.0, 15.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 250.0, 230.0, 250.0]",15.0,1107.0,258.375
TBS,"inDowntown - Qasr El Nile,Egypt","coffee & tea, Healthy",https://www.talabat.com/egypt/restaurant/503223/tbs--qasr-el-nile?aid=7766,169,"[120.0, 130.0, 120.0, 100.0, 200.0, 205.0, 345.0, 345.0, 205.0, 345.0, 345.0, 165.0, 160.0, 165.0, 170.0, 200.0, 160.0, 165.0, 135.0, 125.0, 120.0, 195.0, 130.0, 140.0, 120.0, 135.0, 110.0, 145.0, 145.0, 145.0, 175.0, 205.0, 205.0, 120.0, 140.0, 95.0, 130.0, 135.0, 120.0, 120.0, 295.0, 210.0, 190.0, 220.0, 220.0, 200.0, 205.0, 240.0, 250.0, 250.0, 260.0, 295.0, 260.0, 260.0, 260.0, 340.0, 340.0, 170.0, 155.0, 155.0, 130.0, 170.0, 450.0, 300.0, 360.0, 330.0, 270.0, 375.0, 210.0, 205.0, 85.0, 90.0, 90.0, 90.0, 90.0, 150.0, 50.0, 115.0, 110.0, 125.0, 130.0, 105.0, 115.0, 105.0, 130.0, 100.0, 105.0, 115.0, 140.0, 105.0, 135.0, 135.0, 150.0, 130.0, 595.0, 695.0, 1095.0, 720.0, 1420.0, 770.0, 1570.0, 695.0, 695.0, 185.0, 185.0, 205.0, 210.0, 185.0, 75.0, 105.0, 110.0, 180.0, 105.0, 105.0, 40.0, 95.0, 95.0, 75.0, 40.0, 40.0, 100.0, 95.0, 100.0, 115.0, 120.0, 110.0, 105.0, 105.0, 145.0, 110.0, 85.0, 85.0, 85.0, 90.0, 120.0, 125.0, 110.0, 125.0, 125.0, 125.0, 330.0, 330.0, 60.0, 60.0, 55.0, 60.0, 60.0, 50.0, 55.0, 50.0, 55.0, 40.0, 40.0, 40.0, 90.0, 90.0, 90.0, 95.0, 90.0, 90.0, 35.0, 60.0, 60.0, 35.0, 65.0, 60.0, 65.0]",35.0,1570.0,189.7305389221557
Koshary Sayed Hanafy,"inDowntown - Esa'af,Egypt","Koshary, Egyptian, Desserts, Seyami, Pasta",https://www.talabat.com/egypt/restaurant/715407/koshary-sayed-hanafy-downtown--talaat-harab?aid=7766,42,"[11.0, 39.0, 73.0, 62.0, 51.0, 73.0, 39.0, 51.0, 62.0, 73.0, 62.0, 73.0, 56.0, 34.0, 28.0, 28.0, 34.0, 61.0, 50.0, 50.0, 34.0, 34.0, 28.0, 72.0, 11.0, 11.0, 11.0, 13.0, 11.0, 8.0, 11.0, 17.0, 17.0, 20.0, 17.0, 13.0, 22.0, 22.0, 22.0, 22.0, 10.0, 14.0]",8.0,73.0,34.523809523809526
Andrea,"inZamalek - Abo El Feda,Egypt","Grills, Breakfast, grills, Egyptian",https://www.talabat.com/egypt/restaurant/696639/andrea-zamalek--abo-el-feda?aid=7766,77,"[222.87, 137.65, 222.87, 222.87, 131.1, 589.95, 441.64, 879.85, 1718.3, 441.64, 879.85, 1718.3, 144.21, 222.87, 222.87, 222.87, 275.31, 98.32, 91.77, 91.77, 157.32, 209.76, 137.65, 131.1, 131.1, 353.97, 353.97, 406.41, 537.51, 576.84, 524.4, 576.84, 445.74, 655.5, 445.74, 589.95, 589.95, 589.95, 655.5, 314.64, 501.6, 314.64, 72.1, 72.1, 72.1, 72.1, 72.1, 72.1, 72.1, 72.1, 72.1, 72.1, 85.21, 13.11, 124.54, 117.99, 72.1, 340.86, 367.08, 412.96, 399.85, 314.64, 131.1, 74.1, 79.8, 91.2, 91.2, 91.2, 45.88, 98.32, 108.3, 85.5, 85.5, 98.32, 72.1, 72.1, 72.1]",13.11,1718.3,291.46779220779223
Pizza King,"inAl Manial,Egypt","Pizza, Pasta, Pizza, Italian",https://www.talabat.com/egypt/restaurant/502838/pizza-king--al-manial?aid=7766,155,"[136.0, 51.0, 63.0, 60.0, 137.0, 330.0, 710.0, 356.0, 371.0, 363.0, 431.0, 631.0, 993.0, 1016.0, 642.0, 400.0, 477.0, 554.0, 616.0, 862.0, 577.0, 662.0, 723.0, 816.0, 1108.0, 623.0, 731.0, 854.0, 1008.0, 1239.0, 585.0, 662.0, 739.0, 846.0, 1123.0, 330.0, 350.0, 356.0, 478.0, 710.0, 356.0, 371.0, 363.0, 431.0, 631.0, 993.0, 1016.0, 331.0, 642.0, 251.0, 359.0, 336.0, 433.0, 400.0, 477.0, 554.0, 616.0, 862.0, 577.0, 662.0, 723.0, 816.0, 1108.0, 623.0, 731.0, 854.0, 1008.0, 1239.0, 585.0, 662.0, 739.0, 846.0, 1123.0, 165.0, 165.0, 188.0, 171.0, 103.0, 103.0, 160.0, 154.0, 154.0, 148.0, 143.0, 143.0, 143.0, 137.0, 60.0, 74.0, 74.0, 68.0, 80.0, 80.0, 63.0, 137.0, 91.0, 137.0, 63.0, 63.0, 40.0, 51.0, 136.0, 57.0, 46.0, 23.0, 19.0, 17.0, 17.0, 17.0, 14.0, 17.0, 80.0, 74.0, 80.0, 80.0, 29.0, 33.0, 33.0, 33.0, 52.0, 27.0]",14.0,1239.0,408.91735537190084
