Restaurant,Location,Cuisines,URL,Total_Items,Prices_List,Min_Price,Max_Price,Avg_Price
Hadramout,"inEl Hadara,Egypt","Grills, Mandi, Chicken",https://www.talabat.com/egypt/restaurant/513759/hadra-mout?aid=7177,125,"[330.0, 340.0, 440.0, 70.0, 25.0, 45.0, 510.0, 330.0, 630.0, 335.0, 630.0, 335.0, 630.0, 630.0, 340.0, 270.0, 410.0, 470.0, 265.0, 440.0, 440.0, 1600.0, 365.0, 455.0, 520.0, 530.0, 510.0, 330.0, 630.0, 80.0, 160.0, 335.0, 630.0, 335.0, 490.0, 80.0, 80.0, 630.0, 630.0, 340.0, 270.0, 260.0, 160.0, 235.0, 255.0, 410.0, 340.0, 280.0, 470.0, 410.0, 295.0, 355.0, 240.0, 265.0, 245.0, 245.0, 45.0, 45.0, 50.0, 65.0, 70.0, 70.0, 70.0, 70.0, 235.0, 235.0, 235.0, 480.0, 570.0, 1650.0, 110.0, 100.0, 90.0, 90.0, 130.0, 210.0, 310.0, 20.0, 25.0, 30.0, 30.0, 30.0, 40.0, 25.0, 30.0, 30.0, 40.0, 120.0, 120.0, 110.0, 100.0, 95.0, 95.0, 470.0, 530.0, 780.0, 990.0, 1550.0, 2250.0, 2375.0, 3990.0, 990.0, 990.0, 950.0, 900.0, 760.0, 530.0, 530.0, 470.0, 440.0, 440.0, 195.0, 190.0, 15000.0, 11500.0, 5800.0, 3900.0, 1600.0, 30.0, 45.0, 30.0, 30.0, 30.0]",20.0,15000.0,695.4065040650406
Demel,"inMoharam Bek,Egypt","Breakfast, coffee & tea, Pizza",https://www.talabat.com/egypt/restaurant/786111/demel-el-hadara?aid=7177,253,"[185.0, 185.0, 45.6, 172.0, 150.0, 107.16, 185.0, 185.0, 150.0, 45.6, 150.0, 130.0, 160.0, 160.0, 150.0, 150.0, 180.0, 131.1, 364.3, 116.28, 113.4, 119.7, 119.7, 132.3, 119.7, 119.7, 125.4, 159.6, 142.5, 142.5, 142.5, 131.1, 131.1, 150.0, 150.0, 160.0, 140.0, 170.0, 160.0, 160.0, 119.7, 119.7, 119.7, 119.7, 150.0, 180.0, 185.0, 185.0, 80.0, 74.1, 85.0, 80.0, 85.0, 90.0, 55.0, 90.0, 60.0, 80.0, 97.0, 96.9, 110.0, 200.0, 172.0, 172.0, 240.0, 150.0, 172.0, 155.0, 185.0, 165.9, 172.0, 172.0, 175.0, 150.0, 170.0, 175.0, 175.0, 175.0, 190.0, 190.0, 198.0, 198.1, 180.0, 182.4, 170.0, 172.0, 285.0, 313.5, 313.5, 336.3, 324.9, 319.2, 313.5, 313.5, 205.2, 193.8, 142.5, 182.4, 193.8, 193.8, 193.8, 150.0, 180.0, 200.0, 200.0, 207.0, 207.0, 215.0, 210.0, 215.0, 220.0, 215.0, 215.0, 170.0, 150.0, 252.0, 281.76, 281.76, 289.0, 171.0, 216.6, 45.6, 62.7, 136.8, 131.1, 171.0, 74.1, 119.7, 153.9, 131.1, 56.7, 69.3, 69.3, 69.3, 69.3, 69.3, 69.3, 69.3, 69.3, 69.3, 69.3, 69.3, 69.3, 69.3, 69.3, 88.0, 98.0, 88.0, 95.0, 102.0, 95.0, 95.0, 88.0, 80.0, 92.0, 92.0, 90.0, 85.0, 95.0, 108.3, 100.32, 108.3, 107.16, 119.7, 90.0, 85.0, 90.0, 85.0, 80.0, 96.9, 96.9, 85.5, 91.2, 108.3, 119.7, 108.3, 119.7, 125.4, 125.4, 108.3, 119.7, 125.4, 108.3, 125.4, 108.3, 108.3, 119.7, 119.7, 110.0, 55.0, 55.0, 55.0, 90.0, 90.0, 102.0, 102.0, 102.0, 102.0, 82.0, 102.0, 108.0, 108.0, 108.0, 98.0, 95.0, 102.0, 102.0, 90.0, 90.0, 102.0, 102.0, 80.0, 85.0, 85.0, 90.0, 92.0, 72.0, 72.0, 74.1, 92.0, 96.9, 96.0, 110.0, 98.0, 102.0, 108.0, 102.0, 108.0, 90.0, 102.6, 88.0, 95.0, 92.0, 95.0, 55.0, 55.0, 22.8, 25.08, 25.08, 25.08, 25.08, 29.64, 29.64, 29.64, 31.92, 60.0]",22.8,364.3,129.27601626016255
Nutopia,"inRaml Station,Egypt","Desserts, Crepes, Waffles, Cakes",https://www.talabat.com/egypt/restaurant/508160/nutopia-raml-station?aid=7177,133,"[190.0, 100.0, 75.0, 125.0, 125.0, 170.0, 125.0, 160.0, 160.0, 160.0, 190.0, 160.0, 95.0, 65.0, 30.0, 190.0, 150.0, 440.0, 440.0, 315.0, 565.0, 150.0, 150.0, 190.0, 210.0, 190.0, 115.0, 165.0, 150.0, 170.0, 170.0, 200.0, 90.0, 100.0, 115.0, 150.0, 90.0, 125.0, 150.0, 190.0, 190.0, 190.0, 190.0, 125.0, 125.0, 150.0, 175.0, 150.0, 175.0, 115.0, 175.0, 215.0, 140.0, 140.0, 100.0, 75.0, 100.0, 175.0, 45.0, 45.0, 45.0, 65.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 125.0, 125.0, 125.0, 165.0, 165.0, 190.0, 115.0, 125.0, 115.0, 115.0, 150.0, 150.0, 150.0, 125.0, 46.74, 65.0, 65.0, 75.0, 75.0, 75.0, 175.0, 160.0, 95.0, 150.0, 150.0, 20.0]",20.0,565.0,142.674375
Hardee's,"inCarrefour,Egypt","Burgers, Fast Food",https://www.talabat.com/egypt/restaurant/503087/hardees-carfour-alex-hard?aid=7177,101,"[214.0, 235.0, 130.0, 175.0, 204.0, 115.0, 264.0, 244.0, 344.0, 250.0, 418.0, 618.0, 915.0, 961.0, 305.0, 310.0, 331.0, 355.0, 355.0, 366.0, 199.0, 244.0, 199.0, 244.0, 210.0, 264.0, 244.0, 344.0, 250.0, 418.0, 618.0, 915.0, 961.0, 265.0, 235.0, 204.0, 245.0, 245.0, 220.0, 190.0, 159.0, 200.0, 200.0, 350.0, 300.0, 214.0, 175.0, 230.0, 218.0, 229.0, 275.0, 130.0, 169.0, 173.0, 184.0, 230.0, 340.0, 340.0, 255.0, 250.0, 315.0, 280.0, 210.0, 205.0, 160.0, 110.0, 155.0, 140.0, 105.0, 115.0, 95.0, 155.0, 110.0, 115.0, 115.0, 55.0, 35.0, 25.0, 25.0, 35.0, 25.0, 25.0, 115.0, 50.0, 65.0, 55.0, 85.0, 100.0, 120.0, 115.0, 45.0, 80.0, 99.0, 110.0, 35.0, 35.0, 35.0, 32.0, 35.0, 80.0, 80.0]",25.0,961.0,222.02970297029702
Mo'men,"inRaml Station,Egypt","Sandwiches, Fish & Seafood, Burgers, Chicken",https://www.talabat.com/egypt/restaurant/502330/momen--raml-station?aid=7177,114,"[406.0, 430.0, 40.0, 250.0, 406.0, 980.0, 430.0, 250.0, 240.0, 333.0, 331.0, 339.0, 392.0, 500.0, 639.0, 531.0, 746.0, 800.0, 923.0, 406.0, 376.5, 427.5, 240.0, 980.0, 430.0, 250.0, 240.0, 333.0, 331.0, 339.0, 392.0, 500.0, 639.0, 531.0, 746.0, 800.0, 923.0, 451.0, 257.0, 257.0, 257.0, 182.0, 182.0, 194.0, 308.0, 63.0, 68.0, 302.0, 268.0, 250.0, 307.0, 250.0, 228.0, 57.0, 17.0, 17.0, 46.0, 137.0, 63.0, 86.0, 86.0, 74.0, 74.0, 80.0, 60.5, 17.0, 17.0, 17.0, 17.0, 19.0, 23.0, 17.0, 40.0, 63.0, 154.0, 97.0, 103.0, 131.0, 80.0, 29.0, 33.0, 33.0, 33.0, 33.0, 52.0, 27.0, 13.0]",13.0,980.0,270.3390804597701
"Fast delivery of food, groceries and more",Location not found,Cuisines not found,https://www.talabat.com/egypt/restaurant/624994/costa-coffeefouad-street-tgo-?aid=7177,0,[],,,
Pizza King,"inEL Ataren,Egypt","Pizza, Pasta, Pizza, Italian",https://www.talabat.com/egypt/restaurant/678299/pizza-king-raml-station-el-ataren?aid=7177,164,"[131.0, 60.0, 63.0, 51.0, 137.0, 330.0, 710.0, 356.0, 371.0, 363.0, 431.0, 631.0, 993.0, 1016.0, 246.0, 642.0, 400.0, 477.0, 554.0, 616.0, 862.0, 577.0, 662.0, 723.0, 816.0, 1108.0, 623.0, 731.0, 854.0, 1008.0, 1239.0, 585.0, 662.0, 739.0, 846.0, 1123.0, 330.0, 350.0, 356.0, 478.0, 710.0, 356.0, 371.0, 363.0, 431.0, 631.0, 993.0, 1016.0, 331.0, 246.0, 642.0, 251.0, 359.0, 336.0, 433.0, 400.0, 477.0, 554.0, 616.0, 862.0, 577.0, 662.0, 723.0, 816.0, 1108.0, 623.0, 731.0, 854.0, 1008.0, 1239.0, 585.0, 662.0, 739.0, 846.0, 1123.0, 165.0, 165.0, 188.0, 171.0, 103.0, 103.0, 160.0, 154.0, 154.0, 148.0, 143.0, 143.0, 143.0, 148.0, 148.0, 148.0, 148.0, 188.0, 188.0, 137.0, 60.0, 74.0, 74.0, 68.0, 80.0, 80.0, 63.0, 137.0, 91.0, 137.0, 63.0, 63.0, 40.0, 51.0, 131.0, 57.0, 46.0, 23.0, 19.0, 17.0, 17.0, 17.0, 14.0, 17.0, 80.0, 80.0, 80.0, 29.0, 33.0, 33.0, 33.0, 33.0, 52.0, 27.0]",14.0,1239.0,394.48062015503876
Hadramout El Hadramy,"inSemouha,Egypt","Grills, Mandi, Egyptian, Sandwiches",https://www.talabat.com/egypt/restaurant/510114/hadramout-el-hadramy-semouha?aid=7177,162,"[28.5, 11.4, 150.0, 250.0, 250.0, 91.2, 5125.0, 5999.0, 4425.0, 7500.0, 870.0, 1500.0, 500.0, 1650.0, 1900.0, 160.0, 279.3, 280.0, 135.0, 135.0, 200.0, 350.0, 280.0, 300.0, 250.0, 2100.0, 1650.0, 1500.0, 2500.0, 825.0, 500.0, 2500.0, 1500.0, 1900.0, 1900.0, 500.0, 350.0, 250.0, 250.0, 300.0, 150.0, 280.0, 250.0, 300.0, 280.0, 300.0, 280.0, 400.0, 356.0, 256.5, 525.0, 641.0, 525.0, 200.0, 135.0, 250.0, 500.0, 500.0, 229.0, 135.0, 250.0, 500.0, 682.86, 340.86, 171.0, 940.5, 473.1, 238.26, 1476.3, 739.86, 370.5, 1111.5, 557.46, 279.3, 682.86, 340.86, 171.0, 484.5, 1111.5, 541.5, 3900.0, 5400.0, 4266.0, 6900.0, 3900.0, 9500.0, 18000.0, 79.8, 91.2, 91.2, 51.3, 55.86, 340.86, 340.86, 340.86, 96.9, 96.9, 741.0, 28.5, 222.3, 222.3, 222.3, 222.3, 142.5, 51.3, 51.3, 51.3, 150.0, 250.0, 500.0, 150.0, 250.0, 500.0, 250.0, 500.0, 525.0, 484.5, 564.3, 1453.5, 2907.0, 5814.0, 495.9, 609.9, 1453.5, 2907.0, 940.5, 473.1, 238.26, 7923.0, 5643.0, 5415.0, 4508.7, 5192.7, 3288.9, 4223.7, 4166.7, 4702.5, 4052.7, 3676.5, 4018.5, 3790.5, 1772.7, 1772.7, 1943.7, 1650.0, 1500.0, 700.0, 786.6, 450.3, 5842.5, 3078.0, 3306.0, 3420.0, 22.8, 22.8, 22.8, 28.5, 28.5, 28.5, 28.5, 22.8, 11.4]",11.4,18000.0,1438.0581481481483
Shawermetna,"inCamp Chezar,Egypt","Shawarma, Grills",https://www.talabat.com/egypt/restaurant/709649/shawermetna-camp-chezar?aid=7177,79,"[135.0, 25.0, 60.0, 120.0, 60.0, 170.0, 285.0, 295.0, 220.0, 280.0, 365.0, 600.0, 300.0, 280.0, 255.0, 510.0, 420.0, 465.0, 230.0, 265.0, 235.0, 80.0, 285.0, 295.0, 220.0, 280.0, 365.0, 600.0, 300.0, 280.0, 255.0, 510.0, 420.0, 465.0, 580.0, 230.0, 265.0, 235.0, 80.0, 170.0, 215.0, 225.0, 120.0, 135.0, 130.0, 150.0, 135.0, 125.0, 135.0, 60.0, 85.0, 95.0, 275.0, 475.0, 155.0, 170.0, 180.0, 200.0, 280.0, 295.0, 260.0, 260.0, 245.0, 235.0, 235.0, 250.0, 225.0, 410.0, 155.0, 180.0, 100.0, 25.0, 25.0, 15.0, 15.0, 60.0, 40.0, 75.0, 25.0]",15.0,600.0,227.40506329113924
Pizza Roma,"inSporting,Egypt","Pizza, Crepes",https://www.talabat.com/egypt/restaurant/627975/pizza-roma-sporting?aid=7177,235,"[90.0, 110.0, 110.0, 100.0, 110.0, 100.0, 100.0, 120.0, 120.0, 100.0, 100.0, 120.0, 125.0, 75.0, 80.0, 80.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 120.0, 120.0, 100.0, 150.0, 125.0, 130.0, 125.0, 170.0, 90.0, 100.0, 120.0, 60.0, 75.0, 80.0, 70.0, 110.0, 110.0, 120.0, 140.0, 110.0, 130.0, 100.0, 100.0, 120.0, 150.0, 160.0, 125.0, 125.0, 135.0, 150.0, 115.0, 125.0, 135.0, 165.0, 175.0, 135.0, 125.0, 135.0, 150.0, 140.0, 140.0, 165.0, 175.0, 130.0, 220.0, 130.0, 120.0, 110.0, 120.0, 120.0, 325.0, 130.0, 130.0, 130.0, 140.0, 55.0, 150.0, 160.0, 110.0, 120.0, 220.0, 120.0, 85.0, 40.0, 60.0, 75.0, 120.0, 40.0, 25.0, 20.0, 20.0, 15.0, 20.0, 25.0, 15.0, 20.0]",15.0,325.0,111.6
