Hotel Name,Hotel URL,Room type,Number of guests,Price for 5 nights,Your choices
JAZ Belvedere,https://www.booking.com/hotel/eg/sol-y-mar-belvedere.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqucgdAGwAIB0gIkNTA0ZGQ2YjEtNjRkMS00ZGUxLTg5ODktMGJiYWE2OTg3NzJj2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6b5c41d5ca59009a&srepoch=1778404912&all_sr_blocks=1604916_428857902_2_85_0_262308&highlighted_blocks=1604916_428857902_2_85_0_262308&matching_block_id=1604916_428857902_2_85_0_262308&sr_pri_blocks=1604916_428857902_2_85_0_262308_75379&from_sustainable_property_sr=1&from=searchresults,"Superior Deluxe Queen or Twin Beds Garden View Select your bed (if available) 1 queen bed 2 twin beds This double room features a balcony or terrace, mini-bar and air conditioning. 36 m² Balcony Air conditioning Coffee machine Minibar TV Telephone Hairdryer Cable channels | Superior Deluxe Queen or Twin Beds Garden View | Select your bed (if available) 1 queen bed 2 twin beds | Select your bed (if available) | 1 queen bed | 2 twin beds | This double room features a balcony or terrace, mini-bar and air conditioning. | 36 m² Balcony Air conditioning Coffee machine Minibar TV Telephone Hairdryer Cable channels | 36 m² Balcony Air conditioning Coffee machine Minibar | 36 m² | Balcony | Air conditioning | Coffee machine | Minibar | TV Telephone Hairdryer Cable channels | TV | Telephone | Hairdryer | Cable channels",Max. people: 2,"EGP 39,740","All-Inclusive Includes 1 parking spot Free cancellation before June 26, 2026 • Pay nothing until June 24, 2026 discount may be available | All-Inclusive | Includes 1 parking spot | Free cancellation before June 26, 2026 | Free cancellation | • Pay nothing until June 24, 2026 | • | Pay nothing until June 24, 2026 | discount may be available"
JAZ Belvedere,https://www.booking.com/hotel/eg/sol-y-mar-belvedere.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqucgdAGwAIB0gIkNTA0ZGQ2YjEtNjRkMS00ZGUxLTg5ODktMGJiYWE2OTg3NzJj2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6b5c41d5ca59009a&srepoch=1778404912&all_sr_blocks=1604916_428857902_2_85_0_262308&highlighted_blocks=1604916_428857902_2_85_0_262308&matching_block_id=1604916_428857902_2_85_0_262308&sr_pri_blocks=1604916_428857902_2_85_0_262308_75379&from_sustainable_property_sr=1&from=searchresults,"Superior Family Queen or Twin Beds Garden View Select your bed (if available) 1 sofa bed and 1 queen bed 2 twin beds The spacious double room provides air conditioning, a mini-bar, a coffee machine, a seating area, as well as a TV with cable channels. 38 m² Balcony Air conditioning Coffee machine Minibar More | Superior Family Queen or Twin Beds Garden View | Select your bed (if available) 1 sofa bed and 1 queen bed 2 twin beds | Select your bed (if available) | 1 sofa bed and 1 queen bed | 1 sofa bed and | 1 sofa bed | 1 queen bed | 2 twin beds | The spacious double room provides air conditioning, a mini-bar, a coffee machine, a seating area, as well as a TV with cable channels. | 38 m² Balcony Air conditioning Coffee machine Minibar More | 38 m² Balcony Air conditioning Coffee machine Minibar | 38 m² | Balcony | Air conditioning | Coffee machine | Minibar | More",Max. people: 2,"EGP 42,323","All-Inclusive Includes 1 parking spot Free cancellation before June 26, 2026 • Pay nothing until June 24, 2026 discount may be available | All-Inclusive | Includes 1 parking spot | Free cancellation before June 26, 2026 | Free cancellation | • Pay nothing until June 24, 2026 | • | Pay nothing until June 24, 2026 | discount may be available"
JAZ Belvedere,https://www.booking.com/hotel/eg/sol-y-mar-belvedere.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqucgdAGwAIB0gIkNTA0ZGQ2YjEtNjRkMS00ZGUxLTg5ODktMGJiYWE2OTg3NzJj2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6b5c41d5ca59009a&srepoch=1778404912&all_sr_blocks=1604916_428857902_2_85_0_262308&highlighted_blocks=1604916_428857902_2_85_0_262308&matching_block_id=1604916_428857902_2_85_0_262308&sr_pri_blocks=1604916_428857902_2_85_0_262308_75379&from_sustainable_property_sr=1&from=searchresults,"Superior Queen or Twin Beds Sea View Select your bed (if available) 1 queen bed 2 twin beds This suite has a balcony or terrace, mini-bar and air conditioning. 36 m² Balcony Air conditioning Coffee machine Minibar More | Superior Queen or Twin Beds Sea View | Select your bed (if available) 1 queen bed 2 twin beds | Select your bed (if available) | 1 queen bed | 2 twin beds | This suite has a balcony or terrace, mini-bar and air conditioning. | 36 m² Balcony Air conditioning Coffee machine Minibar More | 36 m² Balcony Air conditioning Coffee machine Minibar | 36 m² | Balcony | Air conditioning | Coffee machine | Minibar | More",Max. people: 2,"EGP 47,338","All-Inclusive Includes 1 parking spot Free cancellation before June 26, 2026 • Pay nothing until June 24, 2026 discount may be available | All-Inclusive | Includes 1 parking spot | Free cancellation before June 26, 2026 | Free cancellation | • Pay nothing until June 24, 2026 | • | Pay nothing until June 24, 2026 | discount may be available"
JAZ Belvedere,https://www.booking.com/hotel/eg/sol-y-mar-belvedere.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqucgdAGwAIB0gIkNTA0ZGQ2YjEtNjRkMS00ZGUxLTg5ODktMGJiYWE2OTg3NzJj2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6b5c41d5ca59009a&srepoch=1778404912&all_sr_blocks=1604916_428857902_2_85_0_262308&highlighted_blocks=1604916_428857902_2_85_0_262308&matching_block_id=1604916_428857902_2_85_0_262308&sr_pri_blocks=1604916_428857902_2_85_0_262308_75379&from_sustainable_property_sr=1&from=searchresults,"Superior Family Queen or Twin Beds Sea View Select your bed (if available) 1 sofa bed and 1 queen bed 2 twin beds The spacious triple room provides air conditioning, a mini-bar, a coffee machine, as well as a TV with cable channels. 38 m² Balcony Air conditioning Coffee machine Minibar More | Superior Family Queen or Twin Beds Sea View | Select your bed (if available) 1 sofa bed and 1 queen bed 2 twin beds | Select your bed (if available) | 1 sofa bed and 1 queen bed | 1 sofa bed and | 1 sofa bed | 1 queen bed | 2 twin beds | The spacious triple room provides air conditioning, a mini-bar, a coffee machine, as well as a TV with cable channels. | 38 m² Balcony Air conditioning Coffee machine Minibar More | 38 m² Balcony Air conditioning Coffee machine Minibar | 38 m² | Balcony | Air conditioning | Coffee machine | Minibar | More",Max. people: 2,"EGP 52,580","All-Inclusive Includes 1 parking spot Free cancellation before June 26, 2026 • Pay nothing until June 24, 2026 discount may be available • We have 5 left | All-Inclusive | Includes 1 parking spot | Free cancellation before June 26, 2026 | Free cancellation | • Pay nothing until June 24, 2026 | • | Pay nothing until June 24, 2026 | discount may be available | • We have 5 left | We have 5 left"
JAZ Belvedere,https://www.booking.com/hotel/eg/sol-y-mar-belvedere.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqucgdAGwAIB0gIkNTA0ZGQ2YjEtNjRkMS00ZGUxLTg5ODktMGJiYWE2OTg3NzJj2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6b5c41d5ca59009a&srepoch=1778404912&all_sr_blocks=1604916_428857902_2_85_0_262308&highlighted_blocks=1604916_428857902_2_85_0_262308&matching_block_id=1604916_428857902_2_85_0_262308&sr_pri_blocks=1604916_428857902_2_85_0_262308_75379&from_sustainable_property_sr=1&from=searchresults,"Junior Suite Queen Bed Sea or Pool View 1 queen bed This suite has a balcony or terrace, mini-bar and air conditioning. Private suite 81 m² Balcony Air conditioning Private bathroom Coffee machine Minibar More | Junior Suite Queen Bed Sea or Pool View | 1 queen bed | This suite has a balcony or terrace, mini-bar and air conditioning. | Private suite 81 m² Balcony Air conditioning Private bathroom Coffee machine Minibar More | Private suite 81 m² Balcony Air conditioning Private bathroom Coffee machine Minibar | Private suite | 81 m² | Balcony | Air conditioning | Private bathroom | Coffee machine | Minibar | More",Max. people: 2,"EGP 90,572","All-Inclusive Includes 1 parking spot Free cancellation before June 26, 2026 • Pay nothing until June 24, 2026 discount may be available • We have 2 left | All-Inclusive | Includes 1 parking spot | Free cancellation before June 26, 2026 | Free cancellation | • Pay nothing until June 24, 2026 | • | Pay nothing until June 24, 2026 | discount may be available | • We have 2 left | We have 2 left"
,https://www.booking.com/hotel/eg/turquoise-beach.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqucgdAGwAIB0gIkNTA0ZGQ2YjEtNjRkMS00ZGUxLTg5ODktMGJiYWE2OTg3NzJj2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6b5c41d5ca59009a&srepoch=1778404912&all_sr_blocks=45886901_0_2_0_0&highlighted_blocks=45886901_0_2_0_0&matching_block_id=45886901_0_2_0_0&sr_pri_blocks=45886901_0_2_0_0__17010&from_sustainable_property_sr=1&from=searchresults,Double Room with Garden View 1 full bed 35 m² Balcony Garden view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar More | Double Room with Garden View | 1 full bed | 35 m² Balcony Garden view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar More | 35 m² Balcony Garden view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar | 35 m² | Balcony | Garden view | Bathtub | Air conditioning | Private bathroom | Flat-screen TV | Terrace | Minibar | More,Max. people: 2,"EGP 10,597",N/A
,https://www.booking.com/hotel/eg/turquoise-beach.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqucgdAGwAIB0gIkNTA0ZGQ2YjEtNjRkMS00ZGUxLTg5ODktMGJiYWE2OTg3NzJj2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6b5c41d5ca59009a&srepoch=1778404912&all_sr_blocks=45886901_0_2_0_0&highlighted_blocks=45886901_0_2_0_0&matching_block_id=45886901_0_2_0_0&sr_pri_blocks=45886901_0_2_0_0__17010&from_sustainable_property_sr=1&from=searchresults,Double Room with Garden View We have 2 left 1 full bed 35 m² Balcony Garden view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar Safe Toilet Tile/Marble floor Sitting area TV Telephone Satellite channels Tea/Coffee maker Heating Hairdryer Carpeted Electric kettle Wake-up service Wardrobe or closet Clothes rack | Double Room with Garden View | We have 2 left | 1 full bed | 35 m² Balcony Garden view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar Safe Toilet Tile/Marble floor Sitting area TV Telephone Satellite channels Tea/Coffee maker Heating Hairdryer Carpeted Electric kettle Wake-up service Wardrobe or closet Clothes rack | 35 m² Balcony Garden view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar | 35 m² | Balcony | Garden view | Bathtub | Air conditioning | Private bathroom | Flat-screen TV | Terrace | Minibar | Safe Toilet Tile/Marble floor Sitting area TV Telephone Satellite channels Tea/Coffee maker Heating Hairdryer Carpeted Electric kettle Wake-up service Wardrobe or closet Clothes rack | Safe | Toilet | Tile/Marble floor | Sitting area | TV | Telephone | Satellite channels | Tea/Coffee maker | Heating | Hairdryer | Carpeted | Electric kettle | Wake-up service | Wardrobe or closet | Clothes rack,N/A,"EGP 12,126",N/A
,https://www.booking.com/hotel/eg/turquoise-beach.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqucgdAGwAIB0gIkNTA0ZGQ2YjEtNjRkMS00ZGUxLTg5ODktMGJiYWE2OTg3NzJj2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6b5c41d5ca59009a&srepoch=1778404912&all_sr_blocks=45886901_0_2_0_0&highlighted_blocks=45886901_0_2_0_0&matching_block_id=45886901_0_2_0_0&sr_pri_blocks=45886901_0_2_0_0__17010&from_sustainable_property_sr=1&from=searchresults,N/A,Max. people: 1,"EGP 15,521 | EGP 18,188 | EGP 20,614 | EGP 10,913 | EGP 13,969 | EGP 16,370 | EGP 18,552 | EGP 16,248 | EGP 18,673 | EGP 21,474 | EGP 22,311 | EGP 12,223 | EGP 14,623 | EGP 16,806 | EGP 19,326 | EGP 20,080",N/A
,https://www.booking.com/hotel/eg/turquoise-beach.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqucgdAGwAIB0gIkNTA0ZGQ2YjEtNjRkMS00ZGUxLTg5ODktMGJiYWE2OTg3NzJj2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6b5c41d5ca59009a&srepoch=1778404912&all_sr_blocks=45886901_0_2_0_0&highlighted_blocks=45886901_0_2_0_0&matching_block_id=45886901_0_2_0_0&sr_pri_blocks=45886901_0_2_0_0__17010&from_sustainable_property_sr=1&from=searchresults,Double Room with Sea View We have 4 left 1 full bed 35 m² Balcony Sea view Pool view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar More | Double Room with Sea View | We have 4 left | 1 full bed | 35 m² Balcony Sea view Pool view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar More | 35 m² Balcony Sea view Pool view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar | 35 m² | Balcony | Sea view | Pool view | Bathtub | Air conditioning | Private bathroom | Flat-screen TV | Terrace | Minibar | More,N/A,"EGP 13,581",N/A
,https://www.booking.com/hotel/eg/turquoise-beach.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqucgdAGwAIB0gIkNTA0ZGQ2YjEtNjRkMS00ZGUxLTg5ODktMGJiYWE2OTg3NzJj2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6b5c41d5ca59009a&srepoch=1778404912&all_sr_blocks=45886901_0_2_0_0&highlighted_blocks=45886901_0_2_0_0&matching_block_id=45886901_0_2_0_0&sr_pri_blocks=45886901_0_2_0_0__17010&from_sustainable_property_sr=1&from=searchresults,Double Room with Pool View We have 5 left 2 twin beds and 1 full bed 35 m² Balcony Bathtub Air conditioning Flat-screen TV Terrace More | Double Room with Pool View | We have 5 left | 2 twin beds and 1 full bed | 2 twin beds and | 2 twin beds | 1 full bed | 35 m² Balcony Bathtub Air conditioning Flat-screen TV Terrace More | 35 m² Balcony Bathtub Air conditioning Flat-screen TV Terrace | 35 m² | Balcony | Bathtub | Air conditioning | Flat-screen TV | Terrace | More,N/A,"EGP 13,581",N/A
