Restaurant,Location,Cuisines,URL,Total_Items,Prices_List,Min_Price,Max_Price,Avg_Price
Nos Regheef,"inGlim,Egypt","foul & falafel, Pizza, Pasta",https://www.talabat.com/egypt/restaurant/501372/nos-regheef?aid=7177,117,"[268.0, 205.0, 268.0, 405.0, 268.0, 194.0, 135.0, 135.0, 212.0, 207.0, 350.0, 337.0, 406.0, 423.0, 349.0, 479.0, 150.0, 186.0, 125.0, 171.0, 158.0, 196.0, 146.0, 177.0, 143.0, 165.0, 490.0, 439.0, 376.0, 450.0, 370.0, 194.0, 199.0, 199.0, 205.0, 257.0, 137.0, 137.0, 131.0, 171.0, 188.0, 194.0, 194.0, 245.0, 262.0, 217.0, 268.0, 257.0, 268.0, 279.0, 279.0, 291.0, 217.0, 330.0, 314.0, 382.0, 370.0, 325.0, 268.0, 268.0, 245.0, 166.0, 211.0, 245.0, 257.0, 284.0, 348.0, 382.0, 405.0, 205.0, 211.0, 211.0, 348.0, 193.0, 193.0, 199.0, 188.0, 188.0, 204.0, 193.0, 194.0, 205.0, 211.0, 177.0, 245.0, 268.0, 188.0, 147.0, 205.0, 268.0, 262.0, 353.0, 75.0, 86.0, 97.0, 165.0, 188.0, 194.0, 211.0, 279.0, 222.0, 336.0, 370.0, 394.0, 222.0, 63.0, 52.0, 51.0, 52.0, 52.0, 57.0, 74.0, 29.0, 52.0, 52.0, 52.0, 52.0]",29.0,490.0,226.53846153846155
BIN AQOOL AL KUWAITI,"inBab Sharq,Egypt",Arabic,https://www.talabat.com/egypt/restaurant/786812/bin-aqool-al-kuwaiti-el-hadara?aid=7177,24,"[480.0, 725.0, 35.0, 35.0, 480.0, 195.0, 195.0, 195.0, 190.0, 160.0, 265.0, 725.0, 725.0, 680.0, 480.0, 480.0, 550.0, 35.0, 35.0, 35.0, 35.0, 285.0]",35.0,725.0,319.09090909090907
Crepe Club - Sporting,"inSporting,Egypt","Crepes, Egyptian, Fast Food",https://www.talabat.com/egypt/restaurant/628131/crepe-club-sporting-sporting?aid=7177,153,"[95.0, 34.0, 105.0, 60.0, 171.0, 200.0, 300.0, 175.0, 135.0, 165.0, 89.0, 200.0, 549.0, 215.0, 171.0, 200.0, 300.0, 850.0, 175.0, 135.0, 165.0, 160.0, 165.0, 89.0, 150.0, 165.0, 195.0, 195.0, 250.0, 165.0, 195.0, 220.0, 220.0, 250.0, 50.0, 55.0, 65.0, 60.0, 60.0, 70.0, 55.0, 30.0, 34.0, 25.0, 25.0, 25.0, 40.0, 40.0, 50.0, 105.0, 105.0, 105.0, 105.0, 110.0, 110.0, 115.0, 115.0, 120.0, 125.0, 130.0, 95.0, 100.0, 100.0, 105.0, 100.0, 120.0, 125.0, 125.0, 105.0, 120.0, 125.0, 120.0, 130.0, 125.0, 115.0, 100.0, 70.0, 70.0, 75.0, 75.0, 80.0, 115.0, 130.0, 35.0, 45.0, 30.0, 100.0, 110.0, 110.0, 95.0, 105.0, 105.0, 105.0, 115.0, 115.0, 120.0]",25.0,850.0,129.70833333333334
Burger King,"inSemouha,Egypt","Burgers, Fast Food",https://www.talabat.com/egypt/restaurant/679502/burger-king-semouha?aid=7177,98,"[275.0, 110.0, 299.0, 70.0, 110.0, 205.0, 299.0, 219.0, 219.0, 299.0, 219.0, 315.0, 375.0, 290.0, 840.0, 299.0, 219.0, 219.0, 299.0, 219.0, 310.0, 310.0, 315.0, 375.0, 260.0, 355.0, 290.0, 260.0, 840.0, 299.0, 245.0, 245.0, 570.0, 400.0, 309.0, 360.0, 219.0, 315.0, 205.0, 429.0, 435.0, 460.0, 299.0, 380.0, 309.0, 309.0, 275.0, 259.0, 159.0, 470.0, 360.0, 110.0, 100.0, 75.0, 120.0, 60.0, 80.0, 90.0, 150.0, 110.0, 130.0, 60.0, 25.0, 60.0, 60.0, 55.0, 25.0, 25.0, 60.0, 70.0, 70.0, 70.0, 340.0, 369.0, 375.0, 400.0, 410.0, 300.0, 250.0, 249.0, 249.0, 320.0, 199.0, 215.0, 239.0, 99.0, 60.0, 70.0, 249.0, 239.0, 159.0, 145.0, 140.0, 120.0, 140.0, 140.0]",25.0,840.0,240.6875
Chocolate Shot,"inAzarita,Egypt","Desserts, Beverages, Cakes",https://www.talabat.com/egypt/restaurant/616232/chocolate-shotazarita?aid=7177,158,"[185.0, 300.0, 300.0, 120.0, 110.0, 50.0, 300.0, 250.0, 180.0, 185.0, 185.0, 185.0, 200.0, 200.0, 200.0, 110.0, 110.0, 300.0, 260.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 185.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 120.0, 120.0, 120.0, 120.0, 114.0, 125.0, 62.7, 68.4, 68.4, 68.4, 74.1, 79.8, 79.8, 91.2, 91.2, 150.0, 150.0, 150.0, 150.0, 150.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 170.0, 170.0, 170.0, 170.0, 74.1, 79.8, 39.9, 39.9, 51.3, 68.4, 91.2, 45.6, 79.8, 74.1, 91.2, 74.1, 300.0, 250.0, 180.0, 185.0, 185.0, 185.0, 200.0, 200.0, 200.0, 110.0, 110.0, 300.0, 260.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 185.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 120.0, 120.0, 120.0, 120.0, 114.0, 125.0, 50.0, 50.0, 50.0, 62.7, 68.4, 68.4, 68.4, 74.1, 79.8, 79.8, 91.2, 91.2, 150.0, 150.0, 150.0, 150.0, 150.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 170.0, 170.0, 170.0, 170.0, 74.1, 79.8, 39.9, 39.9, 51.3, 68.4, 91.2, 45.6, 22.8, 79.8, 74.1, 91.2, 74.1]",22.8,300.0,149.11923076923077
Nutopia,"inRaml Station,Egypt","Desserts, Crepes, Waffles, Cakes",https://www.talabat.com/egypt/restaurant/508160/nutopia-raml-station?aid=7177,135,"[190.0, 125.0, 100.0, 270.0, 280.0, 125.0, 125.0, 170.0, 160.0, 160.0, 160.0, 95.0, 65.0, 30.0, 150.0, 440.0, 440.0, 315.0, 1065.0, 125.0, 150.0, 150.0, 125.0, 190.0, 210.0, 190.0, 150.0, 165.0, 150.0, 170.0, 170.0, 200.0, 90.0, 100.0, 115.0, 150.0, 90.0, 125.0, 150.0, 190.0, 190.0, 190.0, 190.0, 125.0, 125.0, 150.0, 175.0, 150.0, 175.0, 115.0, 175.0, 215.0, 140.0, 140.0, 100.0, 75.0, 100.0, 175.0, 45.0, 45.0, 45.0, 65.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 125.0, 125.0, 125.0, 125.0, 165.0, 165.0, 190.0, 115.0, 125.0, 115.0, 115.0, 150.0, 150.0, 150.0, 125.0, 46.74, 65.0, 65.0, 75.0, 75.0, 75.0, 175.0, 160.0, 95.0, 150.0, 150.0, 20.0]",20.0,1065.0,149.91484536082473
Willy's,"inSemouha - Sporting Club,Egypt","Burgers, Sandwiches",https://www.talabat.com/egypt/restaurant/724151/willys-kitchen-semouha-semouha-sporting-club-tgo?aid=7177,89,"[75.0, 239.0, 45.0, 55.0, 25.0, 55.0, 289.0, 329.0, 658.0, 792.0, 1425.0, 194.0, 289.0, 329.0, 658.0, 792.0, 1425.0, 194.0, 25.0, 25.0, 209.0, 229.0, 219.0, 229.0, 235.0, 225.0, 139.0, 239.0, 229.0, 229.0, 229.0, 239.0, 235.0, 235.0, 237.0, 199.0, 284.0, 304.0, 294.0, 304.0, 310.0, 300.0, 214.0, 314.0, 304.0, 304.0, 304.0, 314.0, 310.0, 310.0, 312.0, 274.0, 119.0, 55.0, 79.0, 75.0, 99.0, 85.0, 79.0, 55.0, 79.0, 99.0, 269.0, 45.0, 119.0, 49.0, 135.0, 79.0, 119.0, 109.0, 20.0, 20.0, 20.0, 30.0, 30.0, 30.0, 20.0, 20.0, 20.0, 20.0, 119.0, 119.0, 25.0, 25.0, 25.0, 25.0, 25.0, 75.0, 10.0]",10.0,1425.0,209.61797752808988
5 Roosters,"inAzarita,Egypt","Fried chicken, Sandwiches, Burgers, Chicken",https://www.talabat.com/egypt/restaurant/518321/5-roosters-azarita?aid=7177,84,"[99.0, 275.0, 5.0, 398.0, 350.0, 598.0, 248.75, 131.0, 146.0, 150.0, 190.0, 190.0, 351.0, 190.0, 475.0, 750.0, 750.0, 398.0, 350.0, 598.0, 248.75, 131.0, 146.0, 150.0, 190.0, 190.0, 351.0, 190.0, 475.0, 750.0, 750.0, 150.0, 99.0, 200.0, 100.0, 225.0, 250.0, 275.0, 450.0, 300.0, 500.0, 850.0, 1050.0, 99.0, 200.0, 150.0, 150.0, 150.0, 25.0, 125.0, 100.0, 100.0, 100.0, 250.0, 5.0, 75.0, 80.0, 60.0, 75.0, 25.0, 25.0, 40.0, 25.0]",5.0,1050.0,262.26190476190476
Bazooka,"inRaml Station,Egypt","Fried chicken, Burgers, Chicken",https://www.talabat.com/egypt/restaurant/649724/bazooka-raml-station-tgo?aid=7177,113,"[299.0, 300.0, 115.0, 165.0, 50.0, 332.0, 540.0, 332.0, 300.0, 633.0, 450.0, 550.0, 367.0, 500.0, 258.0, 250.0, 867.0, 267.0, 350.0, 458.0, 383.0, 540.0, 332.0, 300.0, 633.0, 450.0, 550.0, 367.0, 500.0, 258.0, 250.0, 867.0, 267.0, 350.0, 458.0, 383.0, 140.0, 225.0, 160.0, 250.0, 485.0, 699.0, 699.0, 820.0, 920.0, 499.0, 1020.0, 260.0, 310.0, 260.0, 180.0, 310.0, 260.0, 235.0, 300.0, 165.0, 165.0, 165.0, 105.0, 165.0, 190.0, 180.0, 205.0, 205.0, 155.0, 155.0, 155.0, 155.0, 105.0, 105.0, 105.0, 145.0, 145.0, 205.0, 190.0, 190.0, 225.0, 299.0, 175.0, 160.0, 85.0, 55.0, 90.0, 100.0, 95.0, 85.0, 90.0, 55.0, 40.0, 115.0, 110.0, 65.0, 70.0, 110.0, 110.0, 50.0, 50.0, 60.0, 60.0, 50.0, 30.0, 30.0, 30.0, 8.0, 70.0, 35.0, 35.0, 30.0, 30.0, 20.0, 15.0, 30.0, 35.0]",8.0,1020.0,251.858407079646
Pizza Hut,"inCarrefour,Egypt","Pizza, Salad, Pizza & Pies",https://www.talabat.com/egypt/restaurant/647601/pizza-hut-carrefour-alex-ph?aid=7177,84,"[847.0, 622.0, 690.0, 704.0, 615.0, 620.0, 286.0, 197.0, 59.0, 129.0, 129.0, 129.0, 847.0, 622.0, 690.0, 704.0, 615.0, 620.0, 369.0, 539.0, 649.0, 569.0, 569.0, 695.0, 286.0, 239.0, 225.0, 205.0, 197.0, 121.0, 125.0, 121.0, 75.0, 75.0, 75.0, 113.0, 143.0, 143.0, 168.0, 198.0, 198.0, 168.0, 168.0, 198.0, 168.0, 198.0, 143.0, 103.0, 103.0, 103.0, 103.0, 179.0, 159.0, 25.0, 25.0, 25.0, 90.0, 90.0, 90.0, 85.0, 160.0, 170.0, 134.0, 160.0, 130.0, 55.0, 29.0, 85.0, 86.0, 224.0, 55.0, 45.0, 45.0, 145.0, 105.0, 60.0, 40.0, 61.0, 63.0, 40.0, 40.0, 40.0, 40.0, 20.0]",20.0,847.0,231.86904761904762
