Restaurant,Location,Cuisines,URL,Total_Items,Prices_List,Min_Price,Max_Price,Avg_Price
TBS,"inGreen Plaza,Egypt","coffee & tea, Healthy",https://www.talabat.com/egypt/restaurant/503228/tbs--green-plaza?aid=7177,114,"[120.0, 130.0, 50.0, 120.0, 260.0, 165.0, 170.0, 200.0, 160.0, 165.0, 125.0, 120.0, 140.0, 195.0, 140.0, 120.0, 135.0, 110.0, 145.0, 170.0, 175.0, 120.0, 95.0, 130.0, 135.0, 120.0, 120.0, 210.0, 190.0, 220.0, 240.0, 250.0, 250.0, 455.0, 260.0, 260.0, 210.0, 260.0, 260.0, 260.0, 340.0, 390.0, 210.0, 210.0, 270.0, 170.0, 155.0, 155.0, 130.0, 170.0, 450.0, 300.0, 360.0, 330.0, 270.0, 375.0, 210.0, 205.0, 85.0, 85.0, 90.0, 115.0, 115.0, 140.0, 135.0, 695.0, 720.0, 770.0, 695.0, 185.0, 185.0, 210.0, 205.0, 75.0, 180.0, 105.0, 105.0, 95.0, 75.0, 100.0, 100.0, 115.0, 860.0, 115.0, 110.0, 85.0, 120.0, 125.0, 125.0, 330.0, 330.0, 60.0, 50.0, 55.0, 60.0, 50.0, 50.0, 40.0, 40.0, 40.0, 90.0, 90.0, 90.0, 95.0, 90.0, 90.0, 60.0, 60.0, 60.0, 35.0, 60.0, 65.0]",35.0,860.0,185.44642857142858
Papa John's Pizza,"inAnwar El Sadat,Egypt","Pizza, Fast Food, Pizza",https://www.talabat.com/egypt/restaurant/502903/papa-johns-pizza--raml-station?aid=7177,74,"[200.0, 535.0, 300.0, 460.0, 460.0, 435.0, 635.0, 170.0, 120.0, 200.0, 130.01, 200.0, 170.0, 165.0, 86.0, 111.0, 56.0, 188.0, 165.0, 165.0, 95.0, 140.0, 226.01, 226.01, 226.01, 188.0, 188.0, 165.0, 140.0, 140.0, 25.0, 25.0, 25.0, 25.0, 10.0, 2.0, 110.0, 79.0, 95.0, 30.0, 35.0, 20.0]",2.0,635.0,170.62
Koshary El Zaiem,"inRaml Station,Egypt","Koshary, Egyptian, Pasta",https://www.talabat.com/egypt/restaurant/515131/koshary-el-zaiem-raml-station?aid=7177,186,"[45.0, 50.0, 95.0, 35.0, 80.0, 60.0, 150.0, 237.5, 168.75, 400.0, 487.5, 350.0, 487.5, 443.75, 275.0, 256.25, 150.0, 237.5, 168.75, 400.0, 487.5, 350.0, 487.5, 443.75, 275.0, 256.25, 45.0, 50.0, 55.0, 60.0, 70.0, 80.0, 95.0, 105.0, 125.0, 60.0, 90.0, 80.0, 35.0, 40.0, 45.0, 50.0, 40.0, 40.0, 35.0, 65.0, 85.0, 40.0, 60.0, 60.0, 95.0, 65.0, 65.0, 100.0, 60.0, 160.0, 220.0, 135.0, 155.0, 165.0, 210.0, 100.0, 130.0, 160.0, 240.0, 140.0, 175.0, 120.0, 175.0, 125.0, 165.0, 120.0, 155.0, 150.0, 210.0, 130.0, 165.0, 120.0, 175.0, 155.0, 195.0, 170.0, 220.0, 120.0, 175.0, 170.0, 220.0, 230.0, 320.0, 230.0, 260.0, 155.0, 200.0, 190.0, 250.0, 265.0, 255.0, 190.0, 175.0, 160.0, 180.0, 240.0, 180.0, 150.0, 220.0, 170.0, 170.0, 190.0, 205.0, 250.0, 165.0, 220.0, 220.0, 220.0, 175.0, 215.0, 200.0, 70.0, 70.0, 90.0, 115.0, 125.0, 135.0, 150.0, 150.0, 155.0, 125.0, 150.0, 165.0, 125.0, 150.0, 80.0, 100.0, 110.0, 110.0, 125.0, 100.0, 70.0, 85.0, 105.0, 85.0, 135.0, 125.0, 95.0, 125.0, 125.0, 115.0, 75.0, 80.0, 125.0, 115.0, 90.0, 90.0, 125.0, 90.0, 125.0, 115.0, 125.0, 80.0, 165.0, 165.0, 165.0, 150.0, 160.0, 135.0, 230.0, 80.0, 115.0, 165.0, 155.0, 175.0, 115.0, 50.0, 25.0, 40.0, 22.0, 28.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0]",22.0,487.5,147.4945945945946
Pizza Roma,"inSporting,Egypt","Pizza, Crepes",https://www.talabat.com/egypt/restaurant/627975/pizza-roma-sporting?aid=7177,235,"[90.0, 110.0, 110.0, 100.0, 110.0, 100.0, 100.0, 120.0, 120.0, 100.0, 100.0, 120.0, 125.0, 75.0, 80.0, 80.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 120.0, 120.0, 100.0, 150.0, 125.0, 130.0, 125.0, 170.0, 90.0, 100.0, 120.0, 60.0, 75.0, 80.0, 70.0, 110.0, 110.0, 120.0, 140.0, 110.0, 130.0, 100.0, 100.0, 120.0, 150.0, 160.0, 125.0, 125.0, 135.0, 150.0, 115.0, 125.0, 135.0, 165.0, 175.0, 135.0, 125.0, 135.0, 150.0, 140.0, 140.0, 165.0, 175.0, 130.0, 220.0, 130.0, 120.0, 110.0, 120.0, 120.0, 325.0, 130.0, 130.0, 130.0, 140.0, 55.0, 150.0, 160.0, 110.0, 120.0, 220.0, 120.0, 85.0, 40.0, 60.0, 75.0, 120.0, 40.0, 25.0, 20.0, 20.0, 15.0, 20.0, 25.0, 15.0, 20.0]",15.0,325.0,111.6
Misr El-Kheir,"inEl Hadara,Egypt",Charity,https://www.talabat.com/egypt/restaurant/505157/misr-el-kheir?aid=7177,18,"[100.0, 100.0, 100.0, 500.0, 300.0, 600.0, 11900.0, 100.0, 550.0, 480.0, 100.0, 100.0, 100.0, 600.0, 500.0, 300.0, 6000.0, 600.0]",100.0,11900.0,1279.4444444444443
Marsala,"inFleming,Egypt","Italian, Pizza, Pasta",https://www.talabat.com/egypt/restaurant/781513/marsala-fleming--koliyat-tarbya?aid=7177,226,"[330.0, 200.0, 90.0, 285.0, 295.0, 300.0, 200.0, 300.0, 310.0, 330.0, 350.0, 320.0, 450.0, 400.0, 420.0, 450.0, 450.0, 490.0, 470.0, 430.0, 600.0, 550.0, 600.0, 700.0, 600.0, 650.0, 600.0, 420.0, 450.0, 260.0, 270.0, 260.0, 250.0, 295.0, 285.0, 300.0, 300.0, 275.0, 285.0, 300.0, 300.0, 300.0, 380.0, 375.0, 385.0, 400.0, 380.0, 380.0, 370.0, 360.0, 260.0, 380.0, 400.0, 265.0, 270.0, 275.0, 315.0, 270.0, 250.0, 250.0, 265.0, 260.0, 260.0, 260.0, 250.0, 260.0, 245.0, 320.0, 330.0, 330.0, 340.0, 350.0, 460.0, 290.0, 260.0, 210.0, 225.0, 220.0, 220.0, 245.0, 240.0, 225.0, 300.0, 225.0, 250.0, 90.0, 150.0, 190.0, 170.0, 100.0, 200.0, 120.0, 150.0, 250.0, 180.0, 200.0, 270.0, 300.0, 220.0, 240.0, 310.0, 210.0, 250.0, 300.0, 310.0, 380.0, 350.0, 170.0, 200.0, 200.0, 300.0, 310.0, 330.0, 350.0, 320.0, 450.0, 400.0, 420.0, 450.0, 450.0, 490.0, 470.0, 430.0, 600.0, 550.0, 600.0, 700.0, 600.0, 650.0, 600.0, 420.0, 450.0, 260.0, 270.0, 260.0, 250.0, 295.0, 285.0, 300.0, 300.0, 275.0, 285.0, 300.0, 300.0, 300.0, 380.0, 375.0, 385.0, 400.0, 380.0, 380.0, 370.0, 360.0, 260.0, 380.0, 400.0, 265.0, 270.0, 275.0, 315.0, 270.0, 250.0, 250.0, 265.0, 260.0, 260.0, 260.0, 250.0, 260.0, 245.0, 320.0, 330.0, 330.0, 340.0, 350.0, 460.0, 290.0, 260.0, 210.0, 225.0, 220.0, 220.0, 245.0, 240.0, 225.0, 300.0, 225.0, 250.0, 90.0, 150.0, 190.0, 170.0, 100.0, 200.0, 120.0, 150.0, 250.0, 180.0, 200.0, 270.0, 300.0, 220.0, 240.0, 310.0, 210.0, 250.0, 300.0, 310.0, 380.0, 350.0, 170.0, 200.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 100.0, 30.0, 120.0, 120.0, 120.0, 100.0, 95.0, 120.0]",30.0,700.0,297.54424778761063
Burger King,"inSemouha,Egypt","Burgers, Fast Food",https://www.talabat.com/egypt/restaurant/679502/burger-king-semouha?aid=7177,90,"[275.0, 110.0, 110.0, 70.0, 205.0, 80.0, 275.0, 299.0, 219.0, 219.0, 219.0, 290.0, 840.0, 560.0, 275.0, 299.0, 219.0, 219.0, 219.0, 310.0, 260.0, 300.0, 290.0, 840.0, 560.0, 299.0, 400.0, 309.0, 360.0, 219.0, 315.0, 205.0, 429.0, 435.0, 460.0, 299.0, 380.0, 309.0, 309.0, 275.0, 259.0, 159.0, 470.0, 360.0, 110.0, 100.0, 75.0, 120.0, 60.0, 80.0, 90.0, 150.0, 110.0, 60.0, 25.0, 60.0, 60.0, 55.0, 25.0, 25.0, 60.0, 70.0, 70.0, 340.0, 369.0, 375.0, 400.0, 410.0, 300.0, 250.0, 250.0, 249.0, 249.0, 320.0, 199.0, 215.0, 239.0, 99.0, 60.0, 70.0, 249.0, 239.0, 159.0, 145.0, 140.0, 120.0, 140.0, 140.0]",25.0,840.0,238.0
Pablo,"inStanly,Egypt","International, Desserts, Burgers, Pasta, Pies, Pizza",https://www.talabat.com/egypt/restaurant/509645/pablo-stanly?aid=7177,175,"[199.99, 263.99, 301.99, 148.99, 377.99, 80.99, 224.99, 173.99, 109.99, 109.99, 224.99, 275.99, 263.99, 263.99, 263.99, 250.99, 288.99, 250.99, 250.99, 250.99, 288.99, 269.99, 250.99, 326.99, 326.99, 275.99, 301.99, 301.99, 288.99, 263.99, 321.99, 263.99, 377.99, 263.99, 301.99, 377.99, 416.99, 352.99, 301.99, 263.99, 409.99, 409.99, 377.99, 377.99, 237.99, 237.99, 243.99, 409.99, 377.99, 637.99, 454.99, 441.99, 390.99, 377.99, 409.99, 409.99, 377.99, 377.99, 467.99, 328.99, 328.99, 454.99, 328.99, 328.99, 301.99, 301.99, 379.99, 454.99, 301.99, 314.99, 251.99, 403.99, 328.99, 328.99, 326.99, 377.99, 275.99, 326.99, 263.99, 326.99, 397.99, 326.99, 454.99, 377.99, 377.99, 518.99, 518.99, 556.99, 518.99, 454.99, 537.99, 626.99, 626.99, 697.15, 102.99, 80.99, 250.99, 148.99, 377.99, 199.99, 148.99, 237.99, 263.99, 237.99, 237.99, 352.99, 314.99, 314.99, 314.99, 352.99, 263.99, 141.99, 122.99, 141.99, 141.99, 122.99, 141.99, 153.99, 141.99, 126.59, 122.99, 141.99, 122.99, 165.99, 148.99, 114.99, 114.99, 114.99, 114.99, 114.99, 109.99, 109.99, 109.99, 109.99, 109.99, 118.99, 118.99, 118.99, 118.99, 118.99, 118.99, 118.99, 118.99, 118.99, 109.99, 109.99, 114.99, 114.99, 114.99, 114.99, 114.99, 114.99, 114.99, 114.99, 114.99, 114.99, 114.99, 114.99, 76.99, 76.99, 76.99, 76.99, 148.98, 93.99, 89.99, 97.99, 97.99, 80.99, 97.99, 97.99, 97.99, 106.99, 85.99, 97.99, 100.99]",76.99,697.15,249.87428571428572
7 Days Crepe,"inLauran,Egypt","Crepes, Fried chicken, Sandwiches, Desserts, Burgers, Fast Food",https://www.talabat.com/egypt/restaurant/506150/7-days-crepe--victoria?aid=7177,247,"[219.0, 199.0, 199.0, 25.0, 215.0, 215.0, 195.0, 199.0, 175.0, 210.0, 195.0, 210.0, 215.0, 215.0, 215.0, 199.0, 215.0, 199.0, 215.0, 199.0, 199.0, 219.0, 239.0, 215.0, 215.0, 219.0, 222.0, 222.0, 229.0, 239.0, 233.0, 250.0, 199.0, 199.0, 195.0, 190.0, 205.0, 219.0, 215.0, 229.0, 219.0, 239.0, 225.0, 229.0, 250.0, 149.0, 175.0, 169.0, 149.0, 245.0, 210.0, 250.0, 319.0, 319.0, 339.0, 229.0, 349.0, 359.0, 222.0, 275.0, 249.0, 249.0, 265.0, 265.0, 299.0, 250.0, 249.0, 299.0, 249.0, 250.0, 280.0, 99.0, 99.0, 65.0, 85.0, 105.0, 144.0, 165.0, 105.0, 125.0, 195.0, 240.0, 100.0, 110.0, 195.0, 240.0, 210.0, 210.0, 240.0, 169.0, 245.0, 245.0, 169.0, 169.0, 149.0, 169.0, 169.0, 149.0, 169.0, 175.0, 175.0, 185.0, 175.0, 170.0, 339.0, 369.0, 679.0, 235.0, 235.0, 299.0, 289.0, 259.0, 259.0, 289.0, 289.0, 299.0, 75.0, 79.0, 89.0, 95.0, 190.0, 200.0, 205.0, 225.0, 200.0, 200.0, 205.0, 219.0, 200.0, 219.0, 210.0, 215.0, 229.0, 200.0, 315.0, 245.0, 195.0, 205.0, 209.0, 205.0, 209.0, 209.0, 212.0, 215.0, 219.0, 219.0, 225.0, 205.0, 99.0, 99.0, 65.0, 89.0, 99.0, 139.0, 165.0, 145.0, 179.0, 175.0, 165.0, 175.0, 175.0, 179.0, 185.0, 215.0, 245.0, 250.0, 215.0, 55.0, 75.0, 75.0, 75.0, 55.0, 50.0, 85.0, 140.0, 145.0, 165.0, 160.0, 185.0, 159.0, 200.0, 200.0, 174.0, 245.0, 255.0, 55.0, 75.0, 75.0, 85.0, 80.0, 75.0, 75.0, 75.0, 75.0, 55.0, 55.0, 199.0, 145.0, 175.0, 185.0, 185.0, 185.0, 189.0, 199.0, 189.0, 189.0, 235.0, 189.0, 195.0, 333.0, 200.0, 210.0, 115.0, 155.0, 85.0, 145.0, 190.0, 250.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 75.0, 115.0, 199.0, 109.0, 139.0, 25.0, 25.0, 39.0, 49.0, 205.0, 175.0, 190.0, 185.0, 235.0, 179.0, 449.0, 285.0, 285.0, 280.0, 18.0, 49.0, 27.0, 69.0]",18.0,679.0,185.76518218623482
Pidza,"inRaml Station,Egypt",Pizza,https://www.talabat.com/egypt/restaurant/794155/pidza-raml-station?aid=7177,36,"[208.0, 97.0, 89.0, 75.0, 82.0, 61.5, 24.0, 18.0, 18.0, 22.8, 24.0, 18.0, 24.0, 18.0, 57.0, 57.0, 41.0]",18.0,208.0,54.95882352941176
