Restaurant,Location,Cuisines,URL,Total_Items,Prices_List,Min_Price,Max_Price,Avg_Price
Mince,"inGiza,Egypt","Burgers, Fast Food, American",https://www.talabat.com/egypt/restaurant/514551/mince-giza?aid=7766,86,"[240.0, 105.0, 195.0, 195.0, 90.0, 150.0, 150.0, 190.0, 65.0, 105.0, 145.0, 65.0, 160.0, 150.0, 160.0, 155.0, 120.0, 155.0, 90.0, 150.0, 150.0, 145.0, 80.0, 55.0, 60.0, 60.0, 90.0, 110.0, 210.0, 210.0, 210.0, 210.0, 195.0, 225.0, 195.0, 240.0, 210.0, 230.0, 195.0, 205.0, 200.0, 180.0, 195.0, 210.0, 200.0, 200.0, 205.0, 195.0, 280.0, 140.0, 200.0, 240.0, 135.0, 120.0, 140.0, 110.0, 130.0, 180.0, 190.0, 180.0, 175.0, 60.0, 45.0, 45.0, 45.0, 50.0, 55.0, 20.0, 20.0, 15.0, 20.0, 15.0, 15.0, 35.0, 20.0, 40.0, 20.0, 10.0, 20.0]",10.0,280.0,132.59493670886076
Kyoto Sushi,"inDokki - Mosaddak,Egypt","Sushi, Japanese , Asian",https://www.talabat.com/egypt/restaurant/649438/kyoto-sushi-dokki--mosaddak?aid=7766,238,"[638.4, 191.5, 273.6, 285.0, 656.6, 250.8, 250.8, 273.6, 250.8, 146.0, 285.0, 250.8, 285.0, 285.0, 164.2, 164.2, 285.0, 250.8, 250.8, 285.0, 228.0, 148.2, 273.6, 410.4, 410.4, 73.0, 38.8, 19.4, 260.0, 260.0, 260.0, 202.92, 260.0, 260.0, 260.0, 260.0, 148.2, 171.0, 262.2, 262.2, 262.2, 262.2, 262.2, 638.4, 410.4, 581.4, 656.6, 996.4, 1055.6, 1550.4, 1824.0, 2565.0, 2918.4, 3892.0, 136.8, 125.4, 136.8, 52.4, 96.9, 136.8, 68.4, 262.2, 59.3, 148.2, 142.5, 399.0, 228.8, 399.0, 399.0, 74.1, 296.4, 330.6, 296.0, 250.8, 273.6, 250.8, 146.0, 285.0, 250.8, 285.0, 285.0, 164.2, 164.2, 285.0, 250.8, 250.8, 285.0, 228.0, 148.2, 273.6, 34.2, 34.2, 34.2, 31.9, 25.1, 31.9, 31.9, 17.1, 18.2, 34.2, 34.2, 34.2, 34.2, 34.2, 34.2, 34.2, 34.2, 34.2, 410.4, 410.4, 73.0, 38.8, 19.4, 364.8, 364.8, 364.8, 364.8, 273.6, 273.6, 273.6, 228.0, 228.0, 273.6, 228.0, 273.6, 193.8, 273.6, 273.6, 273.6, 260.0, 260.0, 260.0, 202.92, 260.0, 260.0, 260.0, 260.0, 148.2, 171.0, 171.0, 171.0, 171.0, 171.0, 171.0, 171.0, 112.9, 112.9, 262.2, 262.2, 262.2, 262.2, 262.2, 112.86, 44.5, 44.5, 131.1, 131.1, 131.1, 131.1, 131.1, 44.5, 131.1, 85.5, 131.1, 131.1, 131.1, 399.0, 399.0, 342.0, 34.2, 34.2, 34.2, 34.2, 68.4, 159.6, 191.5, 239.4, 287.3, 319.2, 351.1, 478.8, 638.4, 410.4, 581.4, 656.6, 996.4, 1055.6, 1550.4, 1824.0, 2565.0, 2918.4, 3892.0]",17.1,3892.0,358.61197916666634
Mo'men,"inAl Manial,Egypt","Sandwiches, Fish & Seafood, Burgers, Chicken",https://www.talabat.com/egypt/restaurant/502351/momen--al-manial?aid=7766,112,"[406.0, 430.0, 250.0, 40.0, 406.0, 980.0, 430.0, 250.0, 240.0, 333.0, 331.0, 339.0, 392.0, 500.0, 639.0, 531.0, 746.0, 800.0, 923.0, 406.0, 376.5, 427.5, 240.0, 980.0, 430.0, 250.0, 240.0, 333.0, 331.0, 339.0, 392.0, 500.0, 639.0, 531.0, 746.0, 800.0, 923.0, 451.0, 257.0, 257.0, 257.0, 182.0, 182.0, 194.0, 308.0, 63.0, 68.0, 302.0, 268.0, 250.0, 307.0, 250.0, 228.0, 57.0, 17.0, 17.0, 46.0, 137.0, 63.0, 86.0, 86.0, 74.0, 74.0, 80.0, 60.5, 17.0, 17.0, 17.0, 17.0, 19.0, 23.0, 17.0, 40.0, 63.0, 154.0, 97.0, 103.0, 131.0, 29.0, 33.0, 33.0, 33.0, 52.0, 27.0, 13.0]",13.0,980.0,275.3705882352941
Costa Coffee,"inDowntown - Abdin,Egypt","coffee & tea, Sandwiches, Desserts",https://www.talabat.com/egypt/restaurant/502873/costa-coffee--sherif-streettgo?aid=7766,83,"[95.0, 80.0, 100.0, 95.0, 105.0, 95.0, 200.0, 220.0, 185.0, 95.0, 95.0, 100.0, 80.0, 105.0, 105.0, 100.0, 70.0, 70.0, 70.0, 65.0, 105.0, 100.0, 60.0, 100.0, 100.0, 100.0, 95.0, 100.0, 100.0, 110.0, 125.0, 80.0, 105.0, 100.0, 100.0, 105.0, 105.0, 100.0, 95.0, 95.0, 145.0, 120.0, 110.0, 110.0, 110.0, 120.0, 125.0, 120.0, 160.0, 160.0, 180.0, 120.0, 180.0, 90.0, 85.0, 70.0, 55.0, 95.0, 110.0, 70.0, 70.0, 110.0, 110.0, 110.0, 90.0, 70.0, 99.0, 120.0, 75.0, 75.0, 90.0, 150.0, 150.0, 150.0, 165.0, 155.0, 95.0, 40.0, 90.0, 90.0, 90.0, 25.0, 40.0]",25.0,220.0,104.86746987951807
Recota,"inAnwar El Sadat,Egypt","Pizza, Desserts, Fast Food",https://www.talabat.com/egypt/restaurant/508082/recota-al-manial?aid=7766,82,"[70.0, 70.0, 70.0, 70.0, 110.0, 120.0, 120.0, 120.0]",70.0,120.0,93.75
City Drink,"inAl Manial,Egypt","Beverages, Beverages, Desserts",https://www.talabat.com/egypt/restaurant/680200/city-drink-al-manial?aid=7766,246,"[320.0, 70.0, 350.0, 300.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 75.0, 75.0, 60.0, 20.0, 350.0, 160.0, 150.0, 150.0, 150.0, 250.0, 175.0, 160.0, 225.0, 300.0, 140.0, 160.0, 80.0, 130.0, 125.0, 110.0, 80.0, 100.0, 80.0, 80.0, 140.0, 175.0, 160.0, 190.0, 320.0, 400.0, 400.0, 350.0, 30.0, 25.0, 30.0, 50.0, 45.0, 50.0, 35.0, 70.0, 105.0, 55.0, 70.0, 95.0, 300.0]",20.0,400.0,141.78571428571428
Mawlay,"inGarden City,Egypt","Arabic, Egyptian",https://www.talabat.com/egypt/restaurant/771138/mawlay-garden-city?aid=7766,90,"[90.0, 380.0, 165.0, 720.0, 350.0, 110.0, 100.0, 180.0, 195.0, 70.0, 165.0, 195.0, 195.0, 195.0, 125.0, 240.0, 150.0, 135.0, 140.0, 140.0, 140.0, 380.0, 720.0, 319.0, 299.0, 299.0, 390.0, 260.0, 350.0, 260.0, 405.0, 510.0, 422.0, 345.0, 625.0, 535.0, 350.0, 375.0, 310.0, 510.0, 350.0, 410.0, 225.0, 90.0, 440.0, 530.0, 300.0, 295.0, 125.0, 465.0, 375.0, 710.0, 420.0, 75.0, 50.0, 50.0, 70.0, 50.0, 60.0, 55.0, 60.0, 60.0, 45.0, 55.0, 45.0, 60.0, 85.0, 65.0, 75.0, 70.0, 55.0, 165.0, 70.0, 55.0, 95.0, 20.0, 65.0]",20.0,720.0,235.5064935064935
Cook Door,"inAl Manial,Egypt","Sandwiches, Burgers, Fast Food",https://www.talabat.com/egypt/restaurant/510616/cook-door-al-manial--tgo?aid=7766,71,"[90.0, 325.0, 964.0, 450.0, 600.0, 639.0, 964.0, 450.0, 600.0, 639.0, 220.0, 245.0, 230.0, 260.0, 520.0, 520.0, 290.0, 115.0, 115.0, 290.0, 185.0, 450.0, 155.0, 155.0, 360.0, 360.0, 360.0, 360.0, 345.0, 325.0, 315.0, 60.0, 120.0, 60.0, 90.0, 220.0, 245.0, 230.0, 260.0, 80.0, 49.0, 40.0, 25.0, 20.0, 5.0, 20.0, 20.0, 20.0, 20.0, 20.0, 25.0, 25.0, 20.0]",5.0,964.0,256.0377358490566
SIRAJ,"inMohandesin - Jazerat El Arab,Egypt","International, Beverages",https://www.talabat.com/egypt/restaurant/796833/siraj-mohandesin--jazerat-el-arab?aid=7766,131,"[65.0, 70.0, 590.0, 65.0, 250.0, 170.0, 1700.0, 2550.0, 2050.0, 1050.0, 1150.0, 1700.0, 1800.0, 910.0, 910.0, 910.0, 730.0, 590.0, 790.0, 815.0, 590.0, 450.0, 40.0, 190.0, 140.0, 140.0, 155.0, 155.0, 140.0, 155.0, 320.0, 230.0, 280.0, 350.0, 310.0, 300.0, 350.0, 350.0, 150.0, 130.0, 170.0, 310.0, 280.0, 150.0, 190.0, 170.0, 150.0, 150.0, 160.0, 65.0, 65.0, 65.0, 70.0, 150.0, 50.0]",40.0,2550.0,472.45454545454544
Vinny's Pizzeria,"inZamalek,Egypt","Pizza, Desserts, Salad",https://www.talabat.com/egypt/restaurant/503502/vinnys-pizza--zamalek?aid=7766,84,"[15.0, 50.0, 40.0, 15.0, 473.0, 558.0, 775.0, 849.0, 458.0, 1107.0, 473.0, 558.0, 775.0, 849.0, 458.0, 1107.0, 40.0, 15.0, 15.0, 15.0, 15.0, 15.0, 175.0, 120.0, 70.0, 50.0, 60.0, 50.0, 35.0, 35.0, 35.0, 35.0, 35.0, 15.0, 35.0, 250.0, 230.0, 250.0]",15.0,1107.0,267.2368421052632
