Hotel Name,Hotel URL,Room type,Number of guests,Price for 5 nights,Your choices
S S Luxor Hotel,https://www.booking.com/hotel/eg/s-s-luxor.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCr7_ZzwbAAgHSAiQxMGQxMDE1OS0wZmUyLTQ3NjctOTBkYy02YWRhNjc3NGEwMDDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=427b9097d417020c&srepoch=1777754035&all_sr_blocks=1491671303_420820992_0_1_0&highlighted_blocks=1491671303_420820992_0_1_0&matching_block_id=1491671303_420820992_0_1_0&sr_pri_blocks=1491671303_420820992_0_1_0__17820&from=searchresults,Double or Twin Room 2 twin beds 25 m² City view Air conditioning Attached bathroom Flat-screen TV Soundproof Terrace Minibar Free Wifi Free toiletries Toilet Bathtub or shower Towels Linens TV Refrigerator Telephone Tea/Coffee maker Hairdryer Electric kettle Wake-up service Wardrobe or closet Dining table Upper floors accessible by elevator Clothes rack Drying rack for clothing Toilet paper Single-room AC for guest accommodation Hand sanitizer | Double or Twin Room | 2 twin beds | 25 m² City view Air conditioning Attached bathroom Flat-screen TV Soundproof Terrace Minibar Free Wifi Free toiletries Toilet Bathtub or shower Towels Linens TV Refrigerator Telephone Tea/Coffee maker Hairdryer Electric kettle Wake-up service Wardrobe or closet Dining table Upper floors accessible by elevator Clothes rack Drying rack for clothing Toilet paper Single-room AC for guest accommodation Hand sanitizer | 25 m² City view Air conditioning Attached bathroom Flat-screen TV Soundproof Terrace Minibar Free Wifi | 25 m² | City view | Air conditioning | Attached bathroom | Flat-screen TV | Soundproof | Terrace | Minibar | Free Wifi | Free toiletries Toilet Bathtub or shower Towels Linens TV Refrigerator Telephone Tea/Coffee maker Hairdryer Electric kettle Wake-up service Wardrobe or closet Dining table Upper floors accessible by elevator Clothes rack Drying rack for clothing Toilet paper Single-room AC for guest accommodation Hand sanitizer | Free toiletries | Toilet | Bathtub or shower | Towels | Linens | TV | Refrigerator | Telephone | Tea/Coffee maker | Hairdryer | Electric kettle | Wake-up service | Wardrobe or closet | Dining table | Upper floors accessible by elevator | Clothes rack | Drying rack for clothing | Toilet paper | Single-room AC for guest accommodation | Hand sanitizer,Max. people: 2,"EGP 9,537","Buffet breakfast included Free cancellation before 6:00 PM on July 10, 2026 No prepayment needed – pay at the property discount may be available | Buffet breakfast included | Free cancellation before 6:00 PM on July 10, 2026 | Free cancellation | No prepayment needed – pay at the property | No prepayment needed | discount may be available"
S S Luxor Hotel,https://www.booking.com/hotel/eg/s-s-luxor.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCr7_ZzwbAAgHSAiQxMGQxMDE1OS0wZmUyLTQ3NjctOTBkYy02YWRhNjc3NGEwMDDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=427b9097d417020c&srepoch=1777754035&all_sr_blocks=1491671303_420820992_0_1_0&highlighted_blocks=1491671303_420820992_0_1_0&matching_block_id=1491671303_420820992_0_1_0&sr_pri_blocks=1491671303_420820992_0_1_0__17820&from=searchresults,Single Room 1 twin bed 20 m² City view Air conditioning Attached bathroom Flat-screen TV Soundproof Terrace Minibar Free Wifi More | Single Room | 1 twin bed | 20 m² City view Air conditioning Attached bathroom Flat-screen TV Soundproof Terrace Minibar Free Wifi More | 20 m² City view Air conditioning Attached bathroom Flat-screen TV Soundproof Terrace Minibar Free Wifi | 20 m² | City view | Air conditioning | Attached bathroom | Flat-screen TV | Soundproof | Terrace | Minibar | Free Wifi | More,Max. people: 1,"EGP 8,670","Buffet breakfast included Free cancellation before 6:00 PM on July 10, 2026 No prepayment needed – pay at the property discount may be available • We have 5 left | Buffet breakfast included | Free cancellation before 6:00 PM on July 10, 2026 | Free cancellation | No prepayment needed – pay at the property | No prepayment needed | discount may be available | • We have 5 left | • | We have 5 left"
Nefertiti Hotel Luxor,https://www.booking.com/hotel/eg/nefertiti.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCr7_ZzwbAAgHSAiQxMGQxMDE1OS0wZmUyLTQ3NjctOTBkYy02YWRhNjc3NGEwMDDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=427b9097d417020c&srepoch=1777754035&all_sr_blocks=24397805_338394725_2_41_0&highlighted_blocks=24397805_338394725_2_41_0&matching_block_id=24397805_338394725_2_41_0&sr_pri_blocks=24397805_338394725_2_41_0__19044&from=searchresults,Twin Room We have 6 left 2 twin beds 16 m² Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar Shower Safe Bidet Toilet Towels Linens Socket near the bed Tile/Marble floor Desk Sitting area Private entrance Refrigerator Telephone Ironing facilities Satellite channels Tea/Coffee maker Heating Hairdryer Electric kettle Outdoor furniture Outdoor dining area Cable channels Wake-up service Dryer Wardrobe or closet Upper floors accessible by stairs only Clothes rack Toilet paper Child safety socket covers Hand sanitizer | Twin Room | We have 6 left | 2 twin beds | 16 m² Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar Shower Safe Bidet Toilet Towels Linens Socket near the bed Tile/Marble floor Desk Sitting area Private entrance Refrigerator Telephone Ironing facilities Satellite channels Tea/Coffee maker Heating Hairdryer Electric kettle Outdoor furniture Outdoor dining area Cable channels Wake-up service Dryer Wardrobe or closet Upper floors accessible by stairs only Clothes rack Toilet paper Child safety socket covers Hand sanitizer | 16 m² Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar | 16 m² | Balcony | Mountain view | Landmark view | City view | River view | Bathtub | Air conditioning | Private bathroom | Flat-screen TV | Terrace | Minibar | Shower Safe Bidet Toilet Towels Linens Socket near the bed Tile/Marble floor Desk Sitting area Private entrance Refrigerator Telephone Ironing facilities Satellite channels Tea/Coffee maker Heating Hairdryer Electric kettle Outdoor furniture Outdoor dining area Cable channels Wake-up service Dryer Wardrobe or closet Upper floors accessible by stairs only Clothes rack Toilet paper Child safety socket covers Hand sanitizer | Shower | Safe | Bidet | Toilet | Towels | Linens | Socket near the bed | Tile/Marble floor | Desk | Sitting area | Private entrance | Refrigerator | Telephone | Ironing facilities | Satellite channels | Tea/Coffee maker | Heating | Hairdryer | Electric kettle | Outdoor furniture | Outdoor dining area | Cable channels | Wake-up service | Dryer | Wardrobe or closet | Upper floors accessible by stairs only | Clothes rack | Toilet paper | Child safety socket covers | Hand sanitizer,N/A,"EGP 10,192",N/A
Nefertiti Hotel Luxor,https://www.booking.com/hotel/eg/nefertiti.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCr7_ZzwbAAgHSAiQxMGQxMDE1OS0wZmUyLTQ3NjctOTBkYy02YWRhNjc3NGEwMDDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=427b9097d417020c&srepoch=1777754035&all_sr_blocks=24397805_338394725_2_41_0&highlighted_blocks=24397805_338394725_2_41_0&matching_block_id=24397805_338394725_2_41_0&sr_pri_blocks=24397805_338394725_2_41_0__19044&from=searchresults,N/A,Max. people: 1 | Max. people: 3,"EGP 11,079 | EGP 9,173 | EGP 9,971 | EGP 10,586 | EGP 14,772 | EGP 9,848",N/A
Nefertiti Hotel Luxor,https://www.booking.com/hotel/eg/nefertiti.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCr7_ZzwbAAgHSAiQxMGQxMDE1OS0wZmUyLTQ3NjctOTBkYy02YWRhNjc3NGEwMDDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=427b9097d417020c&srepoch=1777754035&all_sr_blocks=24397805_338394725_2_41_0&highlighted_blocks=24397805_338394725_2_41_0&matching_block_id=24397805_338394725_2_41_0&sr_pri_blocks=24397805_338394725_2_41_0__19044&from=searchresults,Double Room We have 4 left 1 full bed 16 m² Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar More | Double Room | We have 4 left | 1 full bed | 16 m² Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar More | 16 m² Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar | 16 m² | Balcony | Mountain view | Landmark view | City view | River view | Bathtub | Air conditioning | Private bathroom | Flat-screen TV | Terrace | Minibar | More,N/A,"EGP 10,192",N/A
Nefertiti Hotel Luxor,https://www.booking.com/hotel/eg/nefertiti.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCr7_ZzwbAAgHSAiQxMGQxMDE1OS0wZmUyLTQ3NjctOTBkYy02YWRhNjc3NGEwMDDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=427b9097d417020c&srepoch=1777754035&all_sr_blocks=24397805_338394725_2_41_0&highlighted_blocks=24397805_338394725_2_41_0&matching_block_id=24397805_338394725_2_41_0&sr_pri_blocks=24397805_338394725_2_41_0__19044&from=searchresults,Triple Room We have 7 left 3 twin beds 20 m² Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar More | Triple Room | We have 7 left | 3 twin beds | 20 m² Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar More | 20 m² Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar | 20 m² | Balcony | Mountain view | Landmark view | City view | River view | Bathtub | Air conditioning | Private bathroom | Flat-screen TV | Terrace | Minibar | More,N/A,"EGP 13,590",N/A
Nefertiti Hotel Luxor,https://www.booking.com/hotel/eg/nefertiti.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCr7_ZzwbAAgHSAiQxMGQxMDE1OS0wZmUyLTQ3NjctOTBkYy02YWRhNjc3NGEwMDDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=427b9097d417020c&srepoch=1777754035&all_sr_blocks=24397805_338394725_2_41_0&highlighted_blocks=24397805_338394725_2_41_0&matching_block_id=24397805_338394725_2_41_0&sr_pri_blocks=24397805_338394725_2_41_0__19044&from=searchresults,Single Room We have 1 left 1 twin bed Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar More | Single Room | We have 1 left | 1 twin bed | Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar More | Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar | Balcony | Mountain view | Landmark view | City view | River view | Bathtub | Air conditioning | Private bathroom | Flat-screen TV | Terrace | Minibar | More,N/A,"EGP 9,060",N/A
Yasmine Guest House,https://www.booking.com/hotel/eg/yasmine-guest-house.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCr7_ZzwbAAgHSAiQxMGQxMDE1OS0wZmUyLTQ3NjctOTBkYy02YWRhNjc3NGEwMDDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=427b9097d417020c&srepoch=1777754035&all_sr_blocks=1118850901_384711855_2_1_0&highlighted_blocks=1118850901_384711855_2_1_0&matching_block_id=1118850901_384711855_2_1_0&sr_pri_blocks=1118850901_384711855_2_1_0__7866&from=searchresults,Deluxe Double Room We have 4 left 1 queen bed 1 room 30 m² Air conditioning Private bathroom Flat-screen TV Free Wifi Free toiletries Shower Toilet Towels Linens Refrigerator Tea/Coffee maker Electric kettle Wardrobe or closet Toilet paper | Deluxe Double Room | We have 4 left | 1 queen bed | 1 room 30 m² Air conditioning Private bathroom Flat-screen TV Free Wifi Free toiletries Shower Toilet Towels Linens Refrigerator Tea/Coffee maker Electric kettle Wardrobe or closet Toilet paper | 1 room 30 m² Air conditioning Private bathroom Flat-screen TV Free Wifi | 1 room | 30 m² | Air conditioning | Private bathroom | Flat-screen TV | Free Wifi | Free toiletries Shower Toilet Towels Linens Refrigerator Tea/Coffee maker Electric kettle Wardrobe or closet Toilet paper | Free toiletries | Shower | Toilet | Towels | Linens | Refrigerator | Tea/Coffee maker | Electric kettle | Wardrobe or closet | Toilet paper,N/A,"EGP 4,576",N/A
Yasmine Guest House,https://www.booking.com/hotel/eg/yasmine-guest-house.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCr7_ZzwbAAgHSAiQxMGQxMDE1OS0wZmUyLTQ3NjctOTBkYy02YWRhNjc3NGEwMDDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=427b9097d417020c&srepoch=1777754035&all_sr_blocks=1118850901_384711855_2_1_0&highlighted_blocks=1118850901_384711855_2_1_0&matching_block_id=1118850901_384711855_2_1_0&sr_pri_blocks=1118850901_384711855_2_1_0__7866&from=searchresults,N/A,Max. people: 1,"EGP 5,084 | EGP 4,118 | EGP 4,576",N/A
Yasmine Guest House,https://www.booking.com/hotel/eg/yasmine-guest-house.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCr7_ZzwbAAgHSAiQxMGQxMDE1OS0wZmUyLTQ3NjctOTBkYy02YWRhNjc3NGEwMDDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=427b9097d417020c&srepoch=1777754035&all_sr_blocks=1118850901_384711855_2_1_0&highlighted_blocks=1118850901_384711855_2_1_0&matching_block_id=1118850901_384711855_2_1_0&sr_pri_blocks=1118850901_384711855_2_1_0__7866&from=searchresults,Deluxe Twin Room 2 twin beds 1 room 30 m² Air conditioning Private bathroom Flat-screen TV Free Wifi More | Deluxe Twin Room | 2 twin beds | 1 room 30 m² Air conditioning Private bathroom Flat-screen TV Free Wifi More | 1 room 30 m² Air conditioning Private bathroom Flat-screen TV Free Wifi | 1 room | 30 m² | Air conditioning | Private bathroom | Flat-screen TV | Free Wifi | More,Max. people: 2,"EGP 5,084","Exceptional breakfast included Free cancellation before July 9, 2026 • Pay nothing until July 7, 2026 • We have 3 left | Exceptional breakfast included | Exceptional breakfast | Free cancellation before July 9, 2026 | Free cancellation | • Pay nothing until July 7, 2026 | • | Pay nothing until July 7, 2026 | • We have 3 left | We have 3 left"
