Hotel Name,Hotel URL,Room type,Number of guests,Price for 5 nights,Your choices
Familio Prince Pyramids INn,https://www.booking.com/hotel/eg/familio-pyramids-inn.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCncWy0AbAAgHSAiRlNTA0NTYwMy0yZjk1LTRmM2ItOTJjMS0yMGQ3ZDljMDY5YmPYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=25d17d4eaea30ab3&srepoch=1779212968&all_sr_blocks=1636183901_434007112_2_1_0&highlighted_blocks=1636183901_434007112_2_1_0&matching_block_id=1636183901_434007112_2_1_0&sr_pri_blocks=1636183901_434007112_2_1_0__8225&from=searchresults,Double Room 1 twin bed and 1 full bed 25 m² City view Air conditioning Attached bathroom Flat-screen TV Soundproof Barbecue Coffee machine Minibar Free Wifi Hot tub Free toiletries Bathrobe Safe Bidet Washing machine Streaming service (like Netflix) Toilet Sofa Fireplace Bathtub or shower Hardwood or parquet floors Towels Linens Socket near the bed Cleaning products Hypoallergenic Tile/Marble floor High chair Sitting area Suit press Private entrance TV Slippers Refrigerator Mosquito net Ironing facilities Satellite channels Tea/Coffee maker Iron Pay-per-view channels Interconnecting room(s) available Heating Hairdryer Fan Extra long beds (> 6.5 ft) Walk-in closet Towels/Sheets (extra fee) Wake-up service/Alarm clock Carpeted Electric kettle Outdoor furniture Outdoor dining area Wake-up service Alarm clock Laptop safe Executive lounge access Dryer Wardrobe or closet Oven Dining area Entire unit located on ground floor Upper floors accessible by elevator Upper floors accessible by stairs only Clothes rack Fold-up bed Drying rack for clothing Toilet paper Child safety socket covers Baby safety gates Sofa bed Carbon monoxide detector Single-room AC for guest accommodation Hand sanitizer Air purifiers | Double Room | 1 twin bed and 1 full bed | 1 twin bed and | 1 twin bed | 1 full bed | 25 m² City view Air conditioning Attached bathroom Flat-screen TV Soundproof Barbecue Coffee machine Minibar Free Wifi Hot tub Free toiletries Bathrobe Safe Bidet Washing machine Streaming service (like Netflix) Toilet Sofa Fireplace Bathtub or shower Hardwood or parquet floors Towels Linens Socket near the bed Cleaning products Hypoallergenic Tile/Marble floor High chair Sitting area Suit press Private entrance TV Slippers Refrigerator Mosquito net Ironing facilities Satellite channels Tea/Coffee maker Iron Pay-per-view channels Interconnecting room(s) available Heating Hairdryer Fan Extra long beds (> 6.5 ft) Walk-in closet Towels/Sheets (extra fee) Wake-up service/Alarm clock Carpeted Electric kettle Outdoor furniture Outdoor dining area Wake-up service Alarm clock Laptop safe Executive lounge access Dryer Wardrobe or closet Oven Dining area Entire unit located on ground floor Upper floors accessible by elevator Upper floors accessible by stairs only Clothes rack Fold-up bed Drying rack for clothing Toilet paper Child safety socket covers Baby safety gates Sofa bed Carbon monoxide detector Single-room AC for guest accommodation Hand sanitizer Air purifiers | 25 m² City view Air conditioning Attached bathroom Flat-screen TV Soundproof Barbecue Coffee machine Minibar Free Wifi | 25 m² | City view | Air conditioning | Attached bathroom | Flat-screen TV | Soundproof | Barbecue | Coffee machine | Minibar | Free Wifi | Hot tub Free toiletries Bathrobe Safe Bidet Washing machine Streaming service (like Netflix) Toilet Sofa Fireplace Bathtub or shower Hardwood or parquet floors Towels Linens Socket near the bed Cleaning products Hypoallergenic Tile/Marble floor High chair Sitting area Suit press Private entrance TV Slippers Refrigerator Mosquito net Ironing facilities Satellite channels Tea/Coffee maker Iron Pay-per-view channels Interconnecting room(s) available Heating Hairdryer Fan Extra long beds (> 6.5 ft) Walk-in closet Towels/Sheets (extra fee) Wake-up service/Alarm clock Carpeted Electric kettle Outdoor furniture Outdoor dining area Wake-up service Alarm clock Laptop safe Executive lounge access Dryer Wardrobe or closet Oven Dining area Entire unit located on ground floor Upper floors accessible by elevator Upper floors accessible by stairs only Clothes rack Fold-up bed Drying rack for clothing Toilet paper Child safety socket covers Baby safety gates Sofa bed Carbon monoxide detector Single-room AC for guest accommodation Hand sanitizer Air purifiers | Hot tub | Free toiletries | Bathrobe | Safe | Bidet | Washing machine | Streaming service (like Netflix) | Toilet | Sofa | Fireplace | Bathtub or shower | Hardwood or parquet floors | Towels | Linens | Socket near the bed | Cleaning products | Hypoallergenic | Tile/Marble floor | High chair | Sitting area | Suit press | Private entrance | TV | Slippers | Refrigerator | Mosquito net | Ironing facilities | Satellite channels | Tea/Coffee maker | Iron | Pay-per-view channels | Interconnecting room(s) available | Heating | Hairdryer | Fan | Extra long beds (> 6.5 ft) | Walk-in closet | Towels/Sheets (extra fee) | Wake-up service/Alarm clock | Carpeted | Electric kettle | Outdoor furniture | Outdoor dining area | Wake-up service | Alarm clock | Laptop safe | Executive lounge access | Dryer | Wardrobe or closet | Oven | Dining area | Entire unit located on ground floor | Upper floors accessible by elevator | Upper floors accessible by stairs only | Clothes rack | Fold-up bed | Drying rack for clothing | Toilet paper | Child safety socket covers | Baby safety gates | Sofa bed | Carbon monoxide detector | Single-room AC for guest accommodation | Hand sanitizer | Air purifiers,Max. people: 2,"EGP 4,386","Continental breakfast included Free cancellation before 6:00 PM on July 10, 2026 No prepayment needed – pay at the property No credit card needed • We have 4 left | Continental breakfast included | Free cancellation before 6:00 PM on July 10, 2026 | Free cancellation | No prepayment needed – pay at the property | No prepayment needed | No credit card needed | • We have 4 left | • | We have 4 left"
Familio Prince Pyramids INn,https://www.booking.com/hotel/eg/familio-pyramids-inn.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCncWy0AbAAgHSAiRlNTA0NTYwMy0yZjk1LTRmM2ItOTJjMS0yMGQ3ZDljMDY5YmPYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=25d17d4eaea30ab3&srepoch=1779212968&all_sr_blocks=1636183901_434007112_2_1_0&highlighted_blocks=1636183901_434007112_2_1_0&matching_block_id=1636183901_434007112_2_1_0&sr_pri_blocks=1636183901_434007112_2_1_0__8225&from=searchresults,Deluxe Double or Twin Room with Mountain View 2 twin beds 30 m² Mountain view Air conditioning Attached bathroom Flat-screen TV Soundproof Barbecue Coffee machine Minibar Free Wifi More | Deluxe Double or Twin Room with Mountain View | 2 twin beds | 30 m² Mountain view Air conditioning Attached bathroom Flat-screen TV Soundproof Barbecue Coffee machine Minibar Free Wifi More | 30 m² Mountain view Air conditioning Attached bathroom Flat-screen TV Soundproof Barbecue Coffee machine Minibar Free Wifi | 30 m² | Mountain view | Air conditioning | Attached bathroom | Flat-screen TV | Soundproof | Barbecue | Coffee machine | Minibar | Free Wifi | More,Max. people: 2,"EGP 5,012","Continental breakfast included Free cancellation before 6:00 PM on July 10, 2026 No prepayment needed – pay at the property No credit card needed • We have 5 left | Continental breakfast included | Free cancellation before 6:00 PM on July 10, 2026 | Free cancellation | No prepayment needed – pay at the property | No prepayment needed | No credit card needed | • We have 5 left | • | We have 5 left"
Familio Prince Pyramids INn,https://www.booking.com/hotel/eg/familio-pyramids-inn.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCncWy0AbAAgHSAiRlNTA0NTYwMy0yZjk1LTRmM2ItOTJjMS0yMGQ3ZDljMDY5YmPYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=25d17d4eaea30ab3&srepoch=1779212968&all_sr_blocks=1636183901_434007112_2_1_0&highlighted_blocks=1636183901_434007112_2_1_0&matching_block_id=1636183901_434007112_2_1_0&sr_pri_blocks=1636183901_434007112_2_1_0__8225&from=searchresults,Triple Room with Mountain View 3 twin beds 35 m² Mountain view Air conditioning Attached bathroom Flat-screen TV Soundproof Barbecue Coffee machine Minibar Free Wifi More | Triple Room with Mountain View | 3 twin beds | 35 m² Mountain view Air conditioning Attached bathroom Flat-screen TV Soundproof Barbecue Coffee machine Minibar Free Wifi More | 35 m² Mountain view Air conditioning Attached bathroom Flat-screen TV Soundproof Barbecue Coffee machine Minibar Free Wifi | 35 m² | Mountain view | Air conditioning | Attached bathroom | Flat-screen TV | Soundproof | Barbecue | Coffee machine | Minibar | Free Wifi | More,Max. people: 3,"EGP 5,639","Continental breakfast included Free cancellation before 6:00 PM on July 10, 2026 No prepayment needed – pay at the property No credit card needed • We have 5 left | Continental breakfast included | Free cancellation before 6:00 PM on July 10, 2026 | Free cancellation | No prepayment needed – pay at the property | No prepayment needed | No credit card needed | • We have 5 left | • | We have 5 left"
Square Hotel El-Tahrir View,https://www.booking.com/hotel/eg/tahrrrriir-vvv.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCncWy0AbAAgHSAiRlNTA0NTYwMy0yZjk1LTRmM2ItOTJjMS0yMGQ3ZDljMDY5YmPYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=25d17d4eaea30ab3&srepoch=1779212968&all_sr_blocks=1639793005_434583103_2_1_0&highlighted_blocks=1639793005_434583103_2_1_0&matching_block_id=1639793005_434583103_2_1_0&sr_pri_blocks=1639793005_434583103_2_1_0__33000&from=searchresults,Deluxe Double or Twin Room 2 twin beds 1 room 30 m² Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Free Wifi Free toiletries Bathrobe Safe Bidet Toilet Bathtub or shower Towels Linens Socket near the bed Desk Sitting area Slippers Refrigerator Tea/Coffee maker Microwave Heating Hairdryer Towels/Sheets (extra fee) Carpeted Electric kettle Outdoor dining area Wake-up service Alarm clock Executive lounge access Wardrobe or closet Dining area Dining table Entire unit located on ground floor Clothes rack Toilet paper Hand sanitizer Carbon monoxide detector Air purifiers Single-room AC for guest accommodation | Deluxe Double or Twin Room | 2 twin beds | 1 room 30 m² Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Free Wifi Free toiletries Bathrobe Safe Bidet Toilet Bathtub or shower Towels Linens Socket near the bed Desk Sitting area Slippers Refrigerator Tea/Coffee maker Microwave Heating Hairdryer Towels/Sheets (extra fee) Carpeted Electric kettle Outdoor dining area Wake-up service Alarm clock Executive lounge access Wardrobe or closet Dining area Dining table Entire unit located on ground floor Clothes rack Toilet paper Hand sanitizer Carbon monoxide detector Air purifiers Single-room AC for guest accommodation | 1 room 30 m² Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Free Wifi | 1 room | 30 m² | Inner courtyard view | Air conditioning | Patio | Attached bathroom | Flat-screen TV | Free Wifi | Free toiletries Bathrobe Safe Bidet Toilet Bathtub or shower Towels Linens Socket near the bed Desk Sitting area Slippers Refrigerator Tea/Coffee maker Microwave Heating Hairdryer Towels/Sheets (extra fee) Carpeted Electric kettle Outdoor dining area Wake-up service Alarm clock Executive lounge access Wardrobe or closet Dining area Dining table Entire unit located on ground floor Clothes rack Toilet paper Hand sanitizer Carbon monoxide detector Air purifiers Single-room AC for guest accommodation | Free toiletries | Bathrobe | Safe | Bidet | Toilet | Bathtub or shower | Towels | Linens | Socket near the bed | Desk | Sitting area | Slippers | Refrigerator | Tea/Coffee maker | Microwave | Heating | Hairdryer | Towels/Sheets (extra fee) | Carpeted | Electric kettle | Outdoor dining area | Wake-up service | Alarm clock | Executive lounge access | Wardrobe or closet | Dining area | Dining table | Entire unit located on ground floor | Clothes rack | Toilet paper | Hand sanitizer | Carbon monoxide detector | Air purifiers | Single-room AC for guest accommodation,Max. people: 2,"EGP 17,596","Continental breakfast included Free cancellation before July 9, 2026 No prepayment needed – pay at the property No credit card needed discount may be available | Continental breakfast included | Free cancellation before July 9, 2026 | Free cancellation | No prepayment needed – pay at the property | No prepayment needed | No credit card needed | discount may be available"
Square Hotel El-Tahrir View,https://www.booking.com/hotel/eg/tahrrrriir-vvv.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCncWy0AbAAgHSAiRlNTA0NTYwMy0yZjk1LTRmM2ItOTJjMS0yMGQ3ZDljMDY5YmPYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=25d17d4eaea30ab3&srepoch=1779212968&all_sr_blocks=1639793005_434583103_2_1_0&highlighted_blocks=1639793005_434583103_2_1_0&matching_block_id=1639793005_434583103_2_1_0&sr_pri_blocks=1639793005_434583103_2_1_0__33000&from=searchresults,Deluxe King Room 1 full bed 1 room 35 m² Balcony City view Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Terrace Free Wifi More | Deluxe King Room | 1 full bed | 1 room 35 m² Balcony City view Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Terrace Free Wifi More | 1 room 35 m² Balcony City view Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Terrace Free Wifi | 1 room | 35 m² | Balcony | City view | Inner courtyard view | Air conditioning | Patio | Attached bathroom | Flat-screen TV | Terrace | Free Wifi | More,Max. people: 2,"EGP 20,528","Continental breakfast included Free cancellation before July 9, 2026 No prepayment needed – pay at the property No credit card needed discount may be available | Continental breakfast included | Free cancellation before July 9, 2026 | Free cancellation | No prepayment needed – pay at the property | No prepayment needed | No credit card needed | discount may be available"
Square Hotel El-Tahrir View,https://www.booking.com/hotel/eg/tahrrrriir-vvv.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCncWy0AbAAgHSAiRlNTA0NTYwMy0yZjk1LTRmM2ItOTJjMS0yMGQ3ZDljMDY5YmPYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=25d17d4eaea30ab3&srepoch=1779212968&all_sr_blocks=1639793005_434583103_2_1_0&highlighted_blocks=1639793005_434583103_2_1_0&matching_block_id=1639793005_434583103_2_1_0&sr_pri_blocks=1639793005_434583103_2_1_0__33000&from=searchresults,Deluxe Triple Room 3 twin beds 1 room 35 m² Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Free Wifi More | Deluxe Triple Room | 3 twin beds | 1 room 35 m² Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Free Wifi More | 1 room 35 m² Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Free Wifi | 1 room | 35 m² | Inner courtyard view | Air conditioning | Patio | Attached bathroom | Flat-screen TV | Free Wifi | More,Max. people: 3,"EGP 21,994","Continental breakfast included Free cancellation before July 9, 2026 No prepayment needed – pay at the property No credit card needed discount may be available | Continental breakfast included | Free cancellation before July 9, 2026 | Free cancellation | No prepayment needed – pay at the property | No prepayment needed | No credit card needed | discount may be available"
Square Hotel El-Tahrir View,https://www.booking.com/hotel/eg/tahrrrriir-vvv.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCncWy0AbAAgHSAiRlNTA0NTYwMy0yZjk1LTRmM2ItOTJjMS0yMGQ3ZDljMDY5YmPYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=25d17d4eaea30ab3&srepoch=1779212968&all_sr_blocks=1639793005_434583103_2_1_0&highlighted_blocks=1639793005_434583103_2_1_0&matching_block_id=1639793005_434583103_2_1_0&sr_pri_blocks=1639793005_434583103_2_1_0__33000&from=searchresults,Deluxe Family Room 2 full beds 1 room 40 m² Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Free Wifi More | Deluxe Family Room | 2 full beds | 1 room 40 m² Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Free Wifi More | 1 room 40 m² Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Free Wifi | 1 room | 40 m² | Inner courtyard view | Air conditioning | Patio | Attached bathroom | Flat-screen TV | Free Wifi | More,Max. people: 4,"EGP 24,927","Continental breakfast included Free cancellation before July 9, 2026 No prepayment needed – pay at the property No credit card needed discount may be available | Continental breakfast included | Free cancellation before July 9, 2026 | Free cancellation | No prepayment needed – pay at the property | No prepayment needed | No credit card needed | discount may be available"
Square Hotel El-Tahrir View,https://www.booking.com/hotel/eg/tahrrrriir-vvv.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCncWy0AbAAgHSAiRlNTA0NTYwMy0yZjk1LTRmM2ItOTJjMS0yMGQ3ZDljMDY5YmPYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=25d17d4eaea30ab3&srepoch=1779212968&all_sr_blocks=1639793005_434583103_2_1_0&highlighted_blocks=1639793005_434583103_2_1_0&matching_block_id=1639793005_434583103_2_1_0&sr_pri_blocks=1639793005_434583103_2_1_0__33000&from=searchresults,Apartment with City View Bedroom 1: 1 full bed Bedroom 2: 2 twin beds Entire apartment 55 m² Balcony City view Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Terrace Free Wifi More | Apartment with City View | Bedroom 1: 1 full bed Bedroom 2: 2 twin beds | Bedroom 1: 1 full bed | Bedroom 1: | 1 full bed | Bedroom 2: 2 twin beds | Bedroom 2: | 2 twin beds | Entire apartment 55 m² Balcony City view Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Terrace Free Wifi More | Entire apartment 55 m² Balcony City view Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Terrace Free Wifi | Entire apartment | 55 m² | Balcony | City view | Inner courtyard view | Air conditioning | Patio | Attached bathroom | Flat-screen TV | Terrace | Free Wifi | More,Max. people: 4,"EGP 29,326","Continental breakfast included Free cancellation before July 9, 2026 No prepayment needed – pay at the property No credit card needed discount may be available • We have 5 left | Continental breakfast included | Free cancellation before July 9, 2026 | Free cancellation | No prepayment needed – pay at the property | No prepayment needed | No credit card needed | discount may be available | • We have 5 left | • | We have 5 left"
Square Hotel El-Tahrir View,https://www.booking.com/hotel/eg/tahrrrriir-vvv.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCncWy0AbAAgHSAiRlNTA0NTYwMy0yZjk1LTRmM2ItOTJjMS0yMGQ3ZDljMDY5YmPYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=25d17d4eaea30ab3&srepoch=1779212968&all_sr_blocks=1639793005_434583103_2_1_0&highlighted_blocks=1639793005_434583103_2_1_0&matching_block_id=1639793005_434583103_2_1_0&sr_pri_blocks=1639793005_434583103_2_1_0__33000&from=searchresults,Economy Single Room 1 twin bed 1 room 20 m² Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Free Wifi More | Economy Single Room | 1 twin bed | 1 room 20 m² Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Free Wifi More | 1 room 20 m² Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Free Wifi | 1 room | 20 m² | Inner courtyard view | Air conditioning | Patio | Attached bathroom | Flat-screen TV | Free Wifi | More,Max. people: 1,"EGP 14,663","Continental breakfast included Free cancellation before July 9, 2026 No prepayment needed – pay at the property No credit card needed discount may be available | Continental breakfast included | Free cancellation before July 9, 2026 | Free cancellation | No prepayment needed – pay at the property | No prepayment needed | No credit card needed | discount may be available"
Square Hotel El-Tahrir View,https://www.booking.com/hotel/eg/tahrrrriir-vvv.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCncWy0AbAAgHSAiRlNTA0NTYwMy0yZjk1LTRmM2ItOTJjMS0yMGQ3ZDljMDY5YmPYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=25d17d4eaea30ab3&srepoch=1779212968&all_sr_blocks=1639793005_434583103_2_1_0&highlighted_blocks=1639793005_434583103_2_1_0&matching_block_id=1639793005_434583103_2_1_0&sr_pri_blocks=1639793005_434583103_2_1_0__33000&from=searchresults,Deluxe Single Room 1 twin bed 1 room 25 m² Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Free Wifi More | Deluxe Single Room | 1 twin bed | 1 room 25 m² Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Free Wifi More | 1 room 25 m² Inner courtyard view Air conditioning Patio Attached bathroom Flat-screen TV Free Wifi | 1 room | 25 m² | Inner courtyard view | Air conditioning | Patio | Attached bathroom | Flat-screen TV | Free Wifi | More,Max. people: 1,"EGP 16,129","Continental breakfast included Free cancellation before July 9, 2026 No prepayment needed – pay at the property No credit card needed discount may be available | Continental breakfast included | Free cancellation before July 9, 2026 | Free cancellation | No prepayment needed – pay at the property | No prepayment needed | No credit card needed | discount may be available"
